"AREA FILE"
"Area Code","Area Desc","Area Eff Date","Area Term Date","Desgntd Field Flag"
"4920","INGA NORTH","20160625","","Y"
"4925","INGA SOUTH","20160625","","Y"
"4975","JACKPINE","20160625","","Y"
"5000","JEDNEY","20160625","","Y"
"5020","JEDNEY WEST","20160625","","Y"
"5100","JULIENNE CREEK","20160625","","Y"
"5110","JULIENNE CREEK NORTH","20160625","","Y"
"5120","JULIENNE CREEK SOUTH","20160625","","Y"
"5150","JUNIOR","20160625","","Y"
"5160","KAHNTAH RIVER","19940601","","Y"
"5170","KELLY","20160625","","Y"
"5180","KLUA","20160625","","Y"
"5200","KOBES","20160625","","Y"
"5230","KOBES WEST","20160625","","Y"
"5300","KOMIE","20031201","","Y"
"5400","KOTCHO LAKE","20160625","","Y"
"5420","KOTCHO LAKE EAST","20160625","","Y"
"5480","KYKLO","20160625","","Y"
"5500","LADYFERN","20160625","","Y"
"5540","LAGARDE","20160625","","Y"
"5560","LAPP","20160625","","Y"
"5600","LAPRISE CREEK","20160625","","Y"
"5800","LAPRISE CREEK WEST","20160625","","Y"
"5810","LILY LAKE","19970731","","Y"
"5840","LOUISE","20160625","","Y"
"5845","MATHESON","20100702","","Y"
"5850","MARTIN","20160625","","Y"
"5852","MAXHAMISH LAKE","19961218","","Y"
"5854","MEIKLE CREEK (SEE: GWILLIM)","19980531","20060320","N"
"5855","MEL","20160625","","Y"
"5858","MERCURY","20160625","","Y"
"5860","MICA","20160625","","Y"
"5870","MIDWINTER (MOST IN HELMET)","20160625","20051231","N"
"5880","MIKE","20160625","","Y"
"6000","MILLIGAN CREEK","20160625","","Y"
"6020","MILLIGAN CREEK WEST","20160625","","Y"
"6030","MILO","20160625","","Y"
"6100","MOBERLY LAKE","20160625","","Y"
"6140","MONIAS","20160625","","Y"
"6200","MONTNEY","20160625","","Y"
"6210","MOOSE","20160625","","Y"
"6220","MURRAY","20160625","","Y"
"6230","MUSKRAT","20160625","","Y"
"6250","MUSKWA RIVER (SEE MILO)","19901231","20000930","N"
"6400","NIG CREEK","20160625","","Y"
"6410","NIG CREEK NORTH","20160625","","Y"
"6420","NIG CREEK WEST","20160625","","Y"
"6430","NOEL","20160625","","Y"
"6440","NORTH PINE","20160625","","Y"
"6460","OAK","20160625","","Y"
"6480","OJAY","20160625","","Y"
"6485","OOTLA","20050203","","Y"
"6490","OSBORN","20160625","","Y"
"6500","OSPREY","20160625","","Y"
"6530","OWL","20160625","","Y"
"6560","PARADISE","20160625","","Y"
"6600","PARKLAND","20160625","","Y"
"6800","PEEJAY","20160625","","Y"
"7000","PEEJAY WEST","20160625","","Y"
"7020","PEGGO-PESH  (WAS PEGGO 1996)","20160625","20051231","N"
"7030","PESH (SEE PEGGO-PESH)","19501231","19960630","N"
"7200","PETITOT RIVER","20160625","","Y"
"7250","PICKELL","20160625","","Y"
"7265","PINTAIL","20160625","","Y"
"7275","PLUTO","20160625","","Y"
"7300","POCKETKNIFE","20160625","","Y"
"7320","PORTAGE","20090831","","Y"
"7340","PRESPATOU","19950928","","Y"
"7400","RED CREEK","20160625","","Y"
"7410","RED CREEK NORTH","20160625","","Y"
"7430","RED DEER","20160625","","Y"
"7440","REDEYE","20160625","","Y"
"7500","REDWILLOW RIVER","19921231","","Y"
"7600","RIGEL","20160625","","Y"
"7620","RIGEL EAST","20160625","","Y"
"7660","RING","20160625","","Y"
"7720","ROGER","20160625","","Y"
"7730","ROMEO (SEE SIERRA)","19931120","20060825","N"
"7740","SAHTANEH","20160625","","Y"
"7745","SATURN","20160625","","Y"
"7750","SEPTIMUS","20160625","","Y"
"7755","SEXTET","20160625","","Y"
"7760","SHEKILIE","20160625","","Y"
"7770","SIERRA","20160625","","Y"
"7772","SIERRA WEST (SEE SIERRA)","20160625","20060825","N"
"7775","SIKANNI","20160625","","Y"
"7780","SILVER","20160625","","Y"
"7820","SILVERBERRY","20160625","","Y"
"7840","SIPHON","20160625","","Y"
"7860","SIPHON EAST","20160625","","Y"
"7890","SOJER","20160625","","Y"
"7900","SQUIRREL","20160625","","Y"
"8000","STODDART","20160625","","Y"
"8060","STODDART SOUTH","20160625","","Y"
"8100","STODDART WEST","20160625","","Y"
"8105","STONE CREEK","20160625","","Y"
"8110","SUKUNKA","20160625","","Y"
"8115","SUNDOWN","20160625","","Y"
"8120","SUNRISE","20160625","","Y"
"8130","SUNSET PRAIRIE","20160625","","Y"
"8135","SWAN LAKE","19951213","","Y"
"8137","TATTOO","20010402","","Y"
"8140","THETLAANDOA","20160625","","Y"
"8144","THETLAANDOA NORTH","20160625","","Y"
"8145","THETLAANDOA SOUTH","20160625","20060510","N"
"8147","THUNDER MOUNTAIN","19921231","","Y"
"8150","TOMMY LAKES","20160625","","Y"
"8155","TOOGA","20160625","","Y"
"8157","TOWER LAKE","19971204","","Y"
"8160","TOWN","20160625","","Y"
"8170","TOWNSEND","20160625","","Y"
"8175","TRUTCH","20160625","","Y"
"8180","TSEA","20160625","","Y"
"8190","TUPPER CREEK","20160625","","Y"
"8200","TWO RIVERS","20160625","","Y"
"8220","UMBACH","20160625","","Y"
"8240","VELMA","20160625","","Y"
"8260","WARGEN","20160625","","Y"
"8300","WEASEL","20160625","","Y"
"8320","WEASEL WEST","20160625","","Y"
"8360","WILDER","20160625","","Y"
"8400","WILDMINT","20160625","","Y"
"8600","WILLOW","20160625","","Y"
"8625","WINDFLOWER","20160625","","Y"
"8700","WOLF","20160625","","Y"
"8720","WOLVERINE","20160625","","Y"
"8740","WOODRUSH","20160625","","Y"
"8800","YOYO","20160625","","Y"
"8900","ZAREMBA","19960531","","Y"
"9000","OTHER AREAS","19500101","","N"
"9010","NORTHERN PLAINS","19481211","20191217","N"
"9020","PEACE RIVER","19481211","20191217","N"
"9021","HERITAGE","20080206","","Y"
"9022","NORTHERN MONTNEY","20110921","","Y"
"9030","DEEP BASIN","19481211","","Y"
"9040","FOOTHILLS","19481211","20191217","N"
"9045","HORN RIVER","20081203","","Y"
"9046","LIARD","20100610","","Y"
"9047","CORDOVA","20130320","20191217","Y"
"9050","WHITEHORSE","19481211","","N"
"9060","BOWSER","19481211","","N"
"9070","QUESNEL","19481211","","N"
"9080","NECHAKO","19481211","","N"
"9090","FERNIE","19481211","","N"
"9100","QUEEN CHARLOTTE","19481211","","N"
"9110","TOFINO","19481211","","N"
"9120","GEORGIA","19481211","","N"
"9505","ALERT BAY","20000101","","N"
"9513","BELLA BELLA","19840802","","N"
"9516","BLUE RIVER","20000101","","N"
"9518","BRANDYWINE","19811005","","N"
"9522","CAYLEY","19800901","","N"
"9526","CHILLIWACK","19850128","","N"
"9545","ELAHO VALLEY","20000101","","N"
"9567","GRANBY RIVER","19780922","","N"
"9578","HUNDRED MH","20000101","","N"
"9612","LANGLEY","19841205","","N"
"9617","LILLOOET VALLEY","19770919","","N"
"9623","MEAGER CREEK","19740104","","N"
"9625","MERRITT","19740301","","N"
"9627","MONASHEE","20000101","","N"
"9645","OKANAGAN","20000101","","N"
"9652","PAYNTER LAKE","19801011","","N"
"9672","RAFT BATHOLITH","19840718","","N"
"9674","RAILROAD C","20000101","","N"
"9678","RYAN R","20000101","","N"
"9683","SHOVELNOSE","19800101","","N"
"9685","SIDNEY","19830314","","N"
"9687","SILT LAKE","19830813","","N"
"9689","SQUAMISH VALLEY","19771017","","N"
"9697","TROUT CREEK","19801119","","N"
"9711","VALEMOUNT","20180529","","N"
"9725","W KETTLE","20000101","","N"
