"CLIENTS FILE"
"Client Id","Client Name","Client Abbrev","Client Eff Period"
"00090","Dewpoint Resources Ltd.","DEWPOINT",""
"00092","Crew Energy Inc.","CREW",""
"00094","Alcan Fluid Disposal Ltd.","ALCAN","200303"
"00096","NAL Canada West Inc.","NAL",""
"00099","3075704 Nova Scotia Company","3075704",""
"00100","Bearcat Explorations Ltd.","BEARCAT","197909"
"00102","Murphy Canada Exploration Company","MURPHY CANADA",""
"00107","Calver Resources Inc.","CALVER","200312"
"00109","Altia Energy Ltd.","ALTIA",""
"00110","1053547 Alberta Ltd.","1053547",""
"00111","Capex Exploration Ltd.","CAPEX",""
"00114","Blue Range Resource Corporation","BLUE RANGE","200204"
"00117","Enermark Inc.","ENERMARK",""
"00120","Bowrio Resources Limited","BOWRIO",""
"00122","Encal Oil and Gas Ltd.","","199501"
"00124","Spyglass Resources Corp.","SPYGLASS","201306"
"00125","Northpine Energy Ltd.","NORTHPINE",""
"00126","Bow Valley Energy Inc.","BVE","199511"
"00127","Repsol Oil & Gas Canada Inc.","ROGCI","201601"
"00128","Polaris Resources Ltd.","POLARIS",""
"00130","Exalta Energy Inc.","EXALTA",""
"00132","Steppe Petroleum Inc.","STEPPE",""
"00133","Dorset Energy Corporation","",""
"00135","Sabretooth Resources Inc.","",""
"00137","RedStar Oil & Gas Inc.","RSTAR",""
"00138","Creo Energy Ltd.","CREO",""
"00139","EnerNorth Industries Inc.","ENERNORTH",""
"00142","Lightstream Resources Ltd.","LTS","201001"
"00143","Ember Resources Inc.","EMBER","200507"
"00147","Chamaelo Exploration Ltd.","CHAMAELO EXP",""
"00149","Pace Oil & Gas Ltd.","PACE OIL","201101"
"00151","Burner Exploration Ltd.","BURNER",""
"00155","ExxonMobil Canada Resources Company","EMCRC",""
"00156","Jed Oil Inc.","JED",""
"00157","NAL Petroleum (BEL) Ltd.","NAL BEL",""
"00158","Bronnacker Oil BC Ltd.","BOBC",""
"00161","Huron Energy Corporation","HURON",""
"00162","Badger Pass Minerals Inc.","BADGER",""
"00163","Edwards & Associates Surface Consulting Ltd.","",""
"00167","Decker Petroleum Ltd.","",""
"00169","Crescent Point General Partner Corp.","CPG",""
"00170","Cabre Exploration Ltd.","","200103"
"00171","Dolomite Energy Inc.","DOLOMITE",""
"00172","Cairn Petroleums Ltd.","CAIRN",""
"00173","Great Plains Exploration Inc.","GREAT PLAINS","200812"
"00174","Samson Calahoo Petroleum, Ltd.","SAMSON CALAHOO","200608"
"00176","Calco Resources Ltd.","CALCO","199702"
"00181","Titan Exploration Ltd.","TITAN",""
"00182","Daylight Amalgamationco Ltd.","DAYO",""
"00183","NAL Petroleum (ACE) Ltd.","NAL ACE",""
"00184","Keyera Energy Ltd.","KEYERA","200509"
"00186","Diamond Tree Energy Ltd.","DIAMOND TREE EN","200801"
"00187","Procyon Energy Corp.","PROCYON",""
"00188","Canext Energy Ltd.","",""
"00190","Canadian Northwest Land Limited","",""
"00194","Monterey Exploration Ltd.","MONTEREY",""
"00196","KXL Exploration Ltd.","KXL",""
"00197","Renelco Energy Inc.","RENELCO",""
"00198","Aduro Resources Ltd.","ADU","200612"
"00199","Long Run Exploration Ltd.","LONGRUN","201408"
"00200","Canadian Arctic Gas Ltd.","CAGL",""
"00201","Cequence Energy Ltd.","CEQUENCE",""
"00202","Vintage Energy (Canada) Ltd.","VECL","200208"
"00207","Transaction Oil & Gas Ventures Inc.","TRANSACTION","200606"
"00208","Pavilion Energy Corp.","PAVILION",""
"00210","SMR Oil & Gas Ltd.","SMR",""
"00211","Storm Cat Energy Corporation","SCE",""
"00214","Artek Aquisitionco Ltd.","",""
"00216","Triumph Pacific Oil and Gas Corporation","TPC",""
"00217","CDC Oil & Gas Limited","",""
"00218","CML Resources Ltd.","CML",""
"00219","CEP International Petroleum Ltd.","CEP",""
"00220","Esso - CRDM","",""
"00223","Midnight Oil & Gas Ltd.","MIDNIGHT","200502"
"00224","QRI Resources Ltd.","QRI",""
"00225","Henuset Resources Ltd.","",""
"00227","EOG Canada Oil & Gas Inc.","ECOG","201502"
"00230","Kelt Exploration (LNG) Ltd.","KELT LNG","201504"
"00231","Ketch Exploration Ltd.","","200305"
"00236","Canadian Coastal Resources Ltd.","CCRL","201009"
"00237","Canadian Natural Resources Limited","CNRL","198908"
"00238","CanNat Resources Inc.","","200403"
"00243","Chesapeake Canada Corporation","CHESAPEAKE","200207"
"00244","Celsuis Energy Resources Ltd.","","200301"
"00248","Canada Reserve Oil and Gas","CDN RES",""
"00250","Canadian Superior Oil Ltd.","CDN-SUP","200402"
"00252","Candel Oil Ltd.","CANDEL","198202"
"00256","Can/Tex Drilling and Exploration Ltd.","CAN-TEX",""
"00257","Central Treating Ltd.","CENTRAL",""
"00258","Chancellor Energy Resources Inc.","CERI",""
"00260","ACC-CNR Resources Corporation","ACC-CNR",""
"00262","Pioneer Natural Resources Canada Inc.","PIONEER",""
"00265","Trans-Dominion Energy Corp.","NA-TRANSD",""
"00266","Chautauqua Oil (1987) Limited","CHAUT",""
"00267","Cody Energy Canada Limited","CODY",""
"00268","Chevron Canada Resources Limited","","200101"
"00269","Chevron Canada Limited","CHEVRON","195010"
"00273","Coastal Resources Limited","COASTAL","199306"
"00274","Coho Resources Limited","COHO",""
"00275","Conoco Western Canada Partnership","",""
"00277","Devon AOG Corporation","DEVON AOG",""
"00279","ConocoPhillips Canada Limited","",""
"00283","Conwest Exploration Company Limited","",""
"00285","Pennzoil Petroleums Ltd.","","200206"
"00290","Coseka Resources Limited","COSEKA",""
"00291","Copetrex Oil & Gas Ltd.","",""
"00292","BG Canada Exploration and Production, Inc.","BG CANADA",""
"00293","Cyries Energy Inc.","CYRIES",""
"00300","Petrobank Energy and Resources Ltd.","PETROBANK",""
"00301","ConocoPhillips Canada Energy Partnership","",""
"00302","Czar Resources Limited","","199603"
"00303","EMM Energy Corporation","EMM","200010"
"00306","Dominion Energy Canada Ltd.","",""
"00307","Everest Energy Inc.","","200103"
"00311","Dynamic Oil & Gas, Inc.","DYNAMIC","200511"
"00313","Devon Energy Canada Corporation","DEVON ENERGY","200102"
"00315","Deminex (Canada) Limited","",""
"00318","Denison Mines Limited","DEI",""
"00319","Duncan Exploration Inc.","",""
"00322","Baytex Energy Ltd.","BAYTEX","199804"
"00324","Brannigan Resources Canada Ltd.","",""
"00325","Fortaleza Energy Inc.","FORT","200808"
"00327","Eagle Resources Ltd.","","200310"
"00330","EECL Resources Ltd.","EECL",""
"00331","Forest Oil Corporation","",""
"00333","Excel Energy Inc.","EXCEL",""
"00335","Talisman Corporation","",""
"00337","Enco Gas, Ltd.","ENCO",""
"00342","Teck Coal Limited","TECK",""
"00345","Francana Oil & Gas Ltd.","",""
"00349","Penn West PTF Energy Ltd.","PW PTF ENERGY","200701"
"00352","Esprit Exploration Ltd.","ESPRIT",""
"00354","Fletcher Challenge Oil and Gas Inc.","FCOG","200202"
"00355","Founders Energy Ltd.","FOUNDERS","200105"
"00356","Flint Canada Inc.","",""
"00357","Encounter Energy Inc.","ENCOUNTER",""
"00361","Pembina Pipeline Corporation","PPC","200208"
"00365","Gardiner Oil & Gas Limited","","199702"
"00366","FET Energy Ltd.","FET ENERGY",""
"00368","Gascan Resources Ltd.","",""
"00369","Harvest Operations Corp.","HARVEST","200209"
"00370","Phillips Petroleum Corporation","",""
"00374","Sinopec Daylight Energy Ltd.","SDEL","201203"
"00375","Tercero Resources Inc.","","200503"
"00376","Getty Oil Canada Ltd.","GETTY","198312"
"00385","Aquest Energy Ltd.","AQUEST","200605"
"00386","Assure Oil & Gas Corp.","ASSURE",""
"00387","Grizzly Resources Ltd.","GRL",""
"00388","Tecton Energy Canada ULC","TECTON",""
"00389","Yoho Resources Inc.","YOHO",""
"00390","Tamarack Acquisition Corp.","TVE","200702"
"00391","Altagas Holdings Inc.","ALTAGAS HOLDINGS","200703"
"00392","Tenaka Drilling Consortium Ltd.","TENAKA",""
"00393","Cinch Energy Corp.","CINCH",""
"00397","Sunfire Energy Corporation c/o True Energy Inc.","SUNFIRE",""
"00401","Guardian Exploration Inc.","GUARDIAN","201912"
"00402","Avenger Petroleum Inc.","API",""
"00404","BG INTERNATIONAL LIMITED","BGI",""
"00409","NorthRiver Midstream Energy Holdings Limited","NRM HOLD LTD","201810"
"00410","DEJOUR ENERGY (ALBERTA) LTD.","DEJOUR","200702"
"00414","Orlen Upstream Canada Ltd.","OUC","201504"
"00416","ConocoPhillips Canada Resources Corp.","COP","195001"
"00417","Great Basin Petroleum Ltd.","GREAT BASINS","199410"
"00419","Grey Wolf Exploration Inc.","GREY WOLF","200301"
"00421","Hamilton Brothers Canadian Gas Company Ltd.","HAMILTON","200004"
"00422","Harbour Petroleum Company","",""
"00423","Hardy Oil & Gas Canada Ltd.","",""
"00426","Galleon Energy Inc.","GALLEON",""
"00428","Zargon Oil & Gas Ltd.","ZARGON","201001"
"00429","InPlay Oil Corp.","INPLAY OIL","201611"
"00430","Seaview Energy Inc.","SEAVIEW",""
"00431","Unconventional Gas Resources Canada Operating, Inc.","UGR",""
"00432","Bellamont Exploration Ltd.","BELLAMONT",""
"00435","Arawn Energy Ltd.","ARAWN",""
"00436","1330556 Alberta Ltd.","133AB",""
"00439","AltaGas Ltd.","ALTAGAS","200405"
"00440","Devon Canada Corporation","DEVON","200111"
"00443","Gear Energy Ltd.","GEAR","200710"
"00445","Lexin Resources Ltd.","LEXIN","201602"
"00449","Equal Energy Ltd.","EQUAL",""
"00450","Woodside Energy International (Canada) Limited","WOODSIDE","201503"
"00451","Hunt Oil Company","",""
"00452","Canada Energy Partners Inc.","CE",""
"00455","New Shoshoni Ventures Ltd.","SHOSHONI","200802"
"00457","West Energy Ltd.","WEST ENERGY",""
"00459","Questerre Energy Corporation","QEC","201409"
"00461","Sword Energy Inc.","SWORD",""
"00463","Central Global Resources ULC","",""
"00464","Imperial Oil Limited","IMPL",""
"00466","Acclaim Energy Trust","ACCLAIM",""
"00469","Inverness Petroleum Ltd.","INVERNESS",""
"00471","Inverness Energy Ltd.","",""
"00472","Inter-City Gas Corporation","ICG",""
"00473","International Colin Energy Corporation","COLIN",""
"00475","Ipex Oil and Gas Ltd.","IPEX",""
"00476","Jet Energy Corp.","JET","199807"
"00477","Ish Energy Ltd.","ISH","198812"
"00478","Jumbo Resources Ltd.","JUMBO",""
"00479","Jordan Petroleum Ltd. (April 1992)","",""
"00480","Joffre Resources Ltd.","JOFFRE",""
"00486","Kaiser-Francis Oil Company of Canada","NA-KAISER",""
"00487","Kaiser Energy Ltd.","KAISER",""
"00490","Kerr-McGee Canada Ltd.","KMG","199708"
"00491","Keywest Resources Ltd.","",""
"00492","Koch Exploration Canada ULC","KOCH","201211"
"00493","Kildonan Oil Ltd.","KILO","200203"
"00496","Koch Oil Co.  Ltd.","",""
"00499","Killiam Resources Ltd.","",""
"00509","Amax Petroleum of Canada Inc.","AMAX",""
"00510","Landbank Minerals Ltd.","LANDBANK",""
"00515","Livingston Energy Ltd.","LIVINGSTON",""
"00518","Luscar Ltd.","",""
"00519","Connacher Oil and Gas Limited","CONNACHER","200712"
"00522","Hudson's Hope Gas, Ltd.","HHG",""
"00524","Innova Exploration Ltd.","INNOVA",""
"00526","Northpoint Energy Ltd.","NORTHPOINT",""
"00527","Black Mountain Energy Corporation","BLKMTN",""
"00528","BLZ Energy Ltd.","BLZ ENERGY","200904"
"00530","Secure Energy Services Inc.","SECURE","200709"
"00531","Marathon Petroleum Canada Ltd.","MARATHON PET.",""
"00532","Trident Exploration Corp.","TRIDENT",""
"00533","Result Energy Inc.","RESULT",""
"00534","Tintagel Energy Corporation","",""
"00539","Arcan Resources Ltd.","ARCAN",""
"00540","Mayan Adventures, Inc.","MAYAN","200508"
"00541","Ramshorn Canada Investments Limited","",""
"00544","Quicksilver Resources Canada Inc.","QUICKSILVER",""
"00545","Pembina NGL Corporation","PEMBINA NGL","200201"
"00548","Missions Resources Limited","",""
"00551","ExxonMobil Canada Energy","EXXONMOBIL",""
"00553","Morrison Petroleums Ltd.","MORRISON","200203"
"00554","Morgan Hydrocarbons Inc.","MORGAN",""
"00555","Marauder Resources West Coast Inc.","MARAUDER","200809"
"00558","BHP Petroleum (Canada) Inc.","BHP (CAN)","198801"
"00559","National Fuel Exploration Corp.","NFEC",""
"00561","Richlyn Energy Ltd.","RICHLYN",""
"00563","Seven Generations Energy Ltd.","7GEN",""
"00564","South Peace Parkland Ltd.","SOUTH PEACE","200811"
"00565","Murphy Oil Company Ltd.","MURPHY","196710"
"00566","Newcal Energy Inc.","NEWCAL",""
"00567","Norcen Energy Resources Limited","NORCEN","199806"
"00568","Novacorp","NOVACORP",""
"00571","Natomas Exploration of Canada Ltd.","NATOMAS","198407"
"00574","Neomar Resources Limited","NEOMAR",""
"00575","NCE Resources Group Inc.","NCE","200608"
"00578","HOC Energy Corp.","HOC","201503"
"00580","Northcor Energy","NORTHCOR",""
"00586","Northern Reef Exploration Ltd.","NORTHERN REEF",""
"00590","Northern Light Resources Ltd","NGT",""
"00591","Norwest Oil & Gas Corp.","",""
"00592","Canadian Abraxas Petroleum Limited","ABRAXAS","200303"
"00595","Numac Oil & Gas Ltd - DO NOT USE","",""
"00598","Novagas Canada Ltd.","NOVAGAS",""
"00600","Ocelot Energy Inc.","OEI","199909"
"00602","Ocelot Industries Ltd.","OCELOT","199204"
"00603","Ogy Petroleums Ltd.","OGY",""
"00604","Oiltec Resources Ltd.","OILTECH",""
"00606","TAQA North Ltd.","TAQA NORTH","200711"
"00607","Peace River Corporation","PRC",""
"00608","Priority Ventures Ltd.","PRIORITY",""
"00609","Penn West Exploration Ltd.","PENN WEST EXP","200601"
"00612","On-Track Resources Ltd.","ON-TRACK",""
"00614","Palliser Energy Inc.","",""
"00615","Orbit Oil & Gas Ltd.","ORBIT","200103"
"00616","Integrity Custom Processing Inc.","ICPI","201405"
"00619","EnCana Oil & Gas Co. Ltd.","ECAOG",""
"00625","Pacific Northern Gas (N.E.) Ltd.","PACIFIC","199701"
"00626","Pangaea Petroleum Ltd.","PANGAEA","198904"
"00627","EnCana Resources","ECR",""
"00628","Pan Ocean Oil Ltd.","PAN OCEAN",""
"00629","Pan East Petroleum Corp.","PAN EAST",""
"00631","Paramount Resources Ltd.","PARA","198502"
"00635","Panoil Resources Ltd.","PANOIL","200106"
"00637","Petroglobe (Canada) Ltd.","",""
"00640","Pembina Resources Limited","PEMBINA","199711"
"00641","Pensionfund Energy Resources Limited","PENSIONFUND",""
"00642","Obsidian Energy Ltd.","OBSIDIAN","201708"
"00643","Pennzoil Canada, Inc.","PLZCAN",""
"00644","Pipestone Petroleums Inc.","",""
"00645","Petrol Properties Ltd.","","199505"
"00647","Phillips Petroleum Canada Ltd.","",""
"00648","Petro-Canada","PC",""
"00651","Taurus Exploration Canada Ltd.","TAURUS",""
"00658","Postell Energy Co. Ltd.","POSTELL",""
"00660","Placid Oil Company","PLACID","199704"
"00661","Polaris Petroleums Ltd.","",""
"00662","Placer CEGO Petroleum Holdings","PLACER CEGO",""
"00664","PrimeWest Energy Inc.","PRIMEWEST",""
"00665","ConocoPhillips Canada (BRC) Ltd.","COP BRC",""
"00669","Sonde Resources Corp.","NA-SONDE",""
"00671","Pursuit Resources Corp.","PURSUIT","200008"
"00673","Serenpet Exploration Inc.","","199711"
"00676","Rife Resources Ltd.","RIFE",""
"00677","Ranger Oil Limited","RANGER","200010"
"00678","Gauntlet Energy Corporation","GAUNTLET","200502"
"00681","Rising Resources Ltd.","","199509"
"00682","1333002 Alberta Ltd.","1333002 ALBERTA","200909"
"00684","Renaissance Energy Ltd.","RENAISSANCE","200010"
"00685","Riva Oil & Gas Ltd.","RIVA",""
"00687","Rie-Source Exploration Ltd.","RIE-SOURCE",""
"00691","PETRONAS Energy Canada Ltd.","PETRONAS","201811"
"00692","Piper Energy Inc.","PIPER",""
"00693","Ricks Nova Scotia Co.","RICKS",""
"00694","Rival Energy Ltd.","RIVAL","200803"
"00695","RHOC Exploration Inc.","RHOC",""
"00697","Transeuro Beaver River Inc.","TRANSEURO",""
"00699","Seitel Canada Ltd.","SEITEL",""
"00701","Rustum Petroleums (1993) Limited","RUSTUM",""
"00706","Progress Energy Resources Corp.","PRQ",""
"00709","Samedan Oil of Canada, Inc.","SAMEDAN",""
"00710","Canetic ABC Acquisitionco Ltd.","CANETIC ABC",""
"00711","CNOOC Petroleum North America ULC","CNOOC","201812"
"00715","Saxon Petroleum Inc.","SAXON","199907"
"00716","Sceptre Resources Limited","SCEPTRE",""
"00719","MAHALO ENERGY LTD.","MAHALO",""
"00720","Scurry-Rainbow Oil Limited","SCURRY","199401"
"00722","Roy Northern Land Service Ltd.","RNL",""
"00723","Rocor Resources Inc.","ROCOR",""
"00725","NorthRiver Midstream CCS Services Inc.","NRMCCS","201912"
"00727","Advantage Oil & Gas Ltd.","ADVANTAGE",""
"00728","Barrick Energy Inc.","BARRICK","200806"
"00729","Seaward Petroleums Ltd.","SEAWARD",""
"00730","Seeker Petroleum Ltd.","",""
"00734","Seagull Resources Limited","SEAGULL",""
"00735","Blue Mountain Energy Ltd.","BLUE MTN",""
"00736","Security Energy Corporation","",""
"00746","Signalta Resources Limited","SIGNALTA","197707"
"00748","Spitzee Resources Ltd.","SPITZEE",""
"00750","Sorrel Resources Ltd.","",""
"00751","Springbank OIl & Gas Ltd.","SPOG",""
"00755","Stampeder Exploration Ltd.","",""
"00758","Stratabound Minerals Corp.","STRATABOUND",""
"00759","Starvest Capital Inc.","STARVEST",""
"00760","Star Oil & Gas Ltd.","STAR",""
"00761","Summit Resources Limited","SUMMIT",""
"00766","Sunarctic Resources Ltd.","SUNARCTIC",""
"00767","FET Gas Production Ltd.","FETGP",""
"00769","Suncor Energy Inc.","SUNCOR","195804"
"00770","Symmetry Resources Inc.","NA-SYM",""
"00773","Standard Land Company Inc.","STANDARD LAND",""
"00774","StarPoint Energy Ltd.","STARPOINT",""
"00777","Virtus Energy Ltd.","VIRTUS",""
"00778","Silvertip Surveys Ltd.","SILVERTIP",""
"00779","Storm Exploration Inc.","STORM EXP",""
"00781","Pienza Petroleum Inc.","PIENZA",""
"00786","Maxx Petroleum Ltd.","MAXX",""
"00787","Targa Energy Corporation","TARGA",""
"00788","Target Carbons Ltd.","",""
"00789","Marathon Canada Limited","MARATHON","200402"
"00790","Texaco Canada Petroleum Inc.","TCPI",""
"00791","Tarco Oil & Gas Ltd.","",""
"00794","Terra Energy Corp.","TERRA",""
"00795","Tidal Resources Inc.","",""
"00796","TransCanada Midstream","",""
"00797","Veresen Midstream General Partner Inc.","VMGPI","201501"
"00799","ExxonMobil Canada Ltd.","EXXONMO","196207"
"00802","Enercapita Energy Ltd.","ENERCAPITA","201505"
"00803","Falls Creek Resources Inc.","FALLS CREEK","201506"
"00805","Elk Valley Corporation","EVC","201509"
"00806","Tidewater Midstream and Infrastructure Ltd.","TIDEWATER","201510"
"00813","Sanling Energy Ltd.","SLE","201604"
"00814","Spectraseis Canada Inc.","SPECTRASEIS","201608"
"00817","Longshore Resources Ltd.","LONGSHORE","201610"
"00818","Ridgeback Resources Inc.","RBR","201612"
"00819","Predator Oil BC Ltd.","PREDATOR OIL BC","201701"
"00822","Transwest Energy Inc.","",""
"00824","Silverwing Energy Inc.","SILVERWING",""
"00826","ConocoPhillips Canada Operations ULC","COPOL","201705"
"00828","NuVista Energy Ltd.","NUVISTA","200907"
"00829","Tenneco Oil of Canada Ltd.","TENN",""
"00831","Tourmaline Oil Corp.","TOURMALINE","200910"
"00832","Aux Sable Canada Ltd.","AUXSABLE","200910"
"00834","Legacy Oil + Gas Inc.","LEGACY",""
"00835","PetroBakken Energy Ltd.","PBN",""
"00841","Cancen Oil Processors B.C. Inc.","CANCEN",""
"00845","C.F. Wright Farms Ltd.","CFWF","201006"
"00846","GS E&R Canada Inc.","GSENR","201007"
"00850","Imperial Oil Resources Limited","IMP","199304"
"00855","Westcoast Petroleum (1985) Ltd.","WCPL",""
"00856","Trilogy Blue Mountain Ltd.","TRILOGY BLUE MTN",""
"00862","Rigel Oil & Gas Ltd.","RIGEL","199912"
"00864","Royal Trust Energy Corporation","",""
"00868","Total Pretroleum (North America) Ltd.","TLI",""
"00869","Tri Link Resources Ltd.","TRI LINK",""
"00871","United Tri-Star Resources Ltd.","TRI-STAR",""
"00873","Pogo Canada Limited","",""
"00874","Tyrral Resources Limited","TYRRAL",""
"00875","Calpine Canada Natural Gas Company","CCNGC","200403"
"00878","Ulster Petroleums Ltd.","ULSTER",""
"00879","Chauvco Oil & Gas Ltd.","",""
"00880","Unocal Canada Resources","UNION",""
"00881","Unocal Canada Limited","UNOCAL",""
"00883","Unocal Canada Exploration Limited","UCEL",""
"00884","Unocal Explorations Limited","UEL",""
"00888","BelAir Energy Corporation","BELAIR","200402"
"00894","Veteran Resources Inc.","VETERAN",""
"00898","Fairborne Energy Ltd.","FAIRBORNE",""
"00899","Vero Energy Inc.","VERO",""
"00900","Plateau Pipe Line Ltd.","PLATEAU","198903"
"00905","Wainoco Oil Corporation","WAINOCO","199806"
"00907","Enerplus Resources Corporation","",""
"00911","Numac Energy Inc.","NUMAC","200310"
"00914","Samson Courage Energy Inc.","SAMSON COURAGE","200608"
"00916","Western Decalta Petroleum 1977 Limited","DECALTA",""
"00917","Westcoast Gas Services Corporation","WGSC","200610"
"00918","Enterra Energy Corp. *** DO NOT USE ***","ENTERRA",""
"00923","Westmin Resources Limited","WESTMIN","199809"
"00924","Westminster Resources Ltd.","WESTMINSTER",""
"00925","Westmount Resources Ltd.","WESTMOUNT",""
"00932","Pointwest Energy Inc.","POINTWEST","200405"
"00934","Enerplus Corporation","ENERPLUS","199609"
"00940","West Lake Energy Corp.","WLEC","201701"
"00941","Tallahassee Exploration Inc.","TEI","201701"
"00942","Aspenleaf Energy Limited","ASPENLEAF","201701"
"00944","Catapult Environmental Inc.","CATAPULT","201603"
"00945","Fireweed Energy Ltd.","FIREWEED","201702"
"00947","Startech Energy Inc.","STARTECH",""
"00948","Williams Energy (Canada) Inc.","WILLIAMS",""
"00950","Carnaby Energy Ltd.","CARNABY",""
"00951","Wiser Oil Company of Canada, The","",""
"00952","Storm Cat Energy Canada Inc.","SCECI",""
"00953","Aitken Creek Gas Storage ULC","AITKEN GAS","200802"
"00959","Woods Petroleum of Canada, Ltd.","WOODS",""
"00960","Veresen Energy Infrastructure Inc.","VERESEN","201111"
"00961","KM LNG Operating Ltd.","KM LNG","201110"
"00964","BP Canada Energy Group ULC","BP ENERGY GROUP","201203"
"00968","Hemisphere Energy Corporation","HEMISPHERE","201203"
"00972","Crimson Oil & Gas Ltd.","CRIMSON","201208"
"00975","NorthRiver Midstream G and P Canada Inc.","NRM GP","201810"
"00976","Spoke Resources Ltd.","SPK","201211"
"00977","Northpoint Resources Ltd.","NRL","201211"
"00979","Koch Oil Sands Operating ULC","KOCH OIL","201211"
"00981","Tallahassee Resources Inc.","TALLAHASSEE","201212"
"00983","Saguaro Resources Ltd.","SAGUARO","201301"
"00984","Norcan Energy Corporation","NORCAN","201301"
"00985","Zephyr Resources Ltd.","ZEPHYR",""
"00987","Kelt Exploration Ltd.","KELT",""
"00988","Direct Energy Marketing Limited","DIRECT",""
"00990","Endurance B.C. Gas Ltd.","ENDURANCE","201305"
"00991","KANATA Energy Group Ltd.","KANATA","201305"
"00994","Quattro Exploration and Production Ltd.","QUATTRO","201311"
"00996","Pacific Canbriam Energy Limited","PACIFIC CANBRIAM","201910"
"00997","Albright Flush Systems Ltd.","ABT","201101"
"00999","Glenogle Energy Inc.","GLENOGLE","201401"
"01000","Nabors Drilling Canada Limited","RAMSHORN","200808"
"01001","Sukunka Natural Resources Inc.","SUKUNKA","201401"
"01005","AQT Water Management Inc.","AQT","201812"
"01006","Pieridae Alberta Production Ltd.","PEA","201911"
"01007","Amazing Oil & Gas Ltd.","AMAZING OIL","201407"
"01008","Leucrotta Exploration Inc.","LEUCROTTA","201407"
"01011","Todd Energy Canada Limited","TECL","201410"
"01014","1116331 B.C. Ltd.","1116331","201704"
"01016","Cenovus Energy Inc.","CVE ENERGY","201508"
"01018","Canlin Energy Corporation","CANLIN","201707"
"01019","Gain Energy Ltd.","GAIN","201608"
"01022","1121838 Alberta Ltd.","1121838 AB LTD","201710"
"01023","Borealis Geopower Inc.","BOREALISGEO","201405"
"01026","Calima Energy Inc.","CALIMA","201710"
"01028","Parkland Refining (B.C.) Ltd.","PRBC","201710"
"01030","Foothills Pipe Lines (South B.C.) Ltd.","FOOTHILLS PL SBC","197904"
"01040","Shell Canada Limited","SHELL","195010"
"01041","Highwood Oil Company Ltd.","HIGHWOODOIL","201901"
"01042","Velvet Energy Ltd.","VEL","201102"
"01043","Canfor Pulp Ltd.","CANFORPULP","201401"
"01045","GasNorth Energy Ltd.","GASNORTH","201809"
"01111","Whitecap Resources Inc.","WHITECAP","201401"
"01761","Complete Exploration Services Ltd.","",""
"02011","Orphan Fund","ORPHAN",""
"02774","Westcoast Energy Inc.","WESTCOAST","200510"
"03035","Trans Mountain Pipeline ULC","TRANSMTN","201301"
"03336","Murphy Canada Exploration Ltd.","",""
"03422","Pacific Trail Pipelines Management Inc.","PTP MI","201105"
"03470","Aitken Creek Gas Storage ULC DO NOT USE","",""
"05001","518562 Alberta Ltd.","",""
"05002","Aguila Exploration Consultants Ltd.","AECL",""
