"CODES FILE"
"Table ID","Code","Description"
"FORT","1490","QUEEN CHARLOTTE GROUP"
"FORT","1492","HONNA"
"FORT","1494","SKIDEGATE"
"FORT","1500","DUNVEGAN"
"FORT","1520","CROWSNEST VOLCANICS"
"FORT","1530","FT ST JOHN"
"FORT","1600","HAIDA"
"FORT","1660","SULLY"
"FORT","1680","SIKANNI"
"FORT","1700","SHAFTESBURY"
"FORT","1705","LEPINE"
"FORT","1710","GOODRICH"
"FORT","1713","BASE OF FISH SCALES"
"FORT","1715","HASLER"
"FORT","1720","BUCKINGHORSE"
"FORT","1721","BOUGIE"
"FORT","1723","BOULDER CREEK"
"FORT","1724","HULCROSS"
"FORT","1725","GATES"
"FORT","1730","SCATTER"
"FORT","1740","GARBUTT"
"FORT","1741","RADIOACTIVE ZONE"
"FORT","1800","BLAIRMORE"
"FORT","1850","COMMOTION"
"FORT","1870","MOOSEBAR"
"FORT","2000","PADDY"
"FORT","2010","PADDY- CADOTTE"
"FORT","2200","CADOTTE"
"FORT","2220","HARMON"
"FORT","2330","PEACE RIVER"
"FORT","2350","SPIRIT RIVER"
"FORT","2400","NOTIKEWIN"
"FORT","2500","FALHER"
"FORT","2505","FALHER A"
"FORT","2510","FALHER B"
"FORT","2515","FALHER C"
"FORT","2520","FALHER D"
"FORT","2525","FOURTH COAL MEASURE"
"FORT","2530","FALHER E"
"FORT","2535","FALHER SAND"
"FORT","2540","FALHER F"
"FORT","2545","FALHER G"
"FORT","2550","WILRICH"
"FORT","2575","HOT SHALE"
"FORT","2600","BLUESKY"
"FORT","2625","BASAL BLUESKY"
"FORT","2630","BLUESKY-GETHING"
"FORT","2640","BLUESKY-GETHING-DETRITAL"
"FORT","2650","DETRITAL"
"FORT","2690","BULLHEAD"
"FORT","2692","LOWER BLAIRMORE"
"FORT","2700","GETHING"
"FORT","2703","AITKEN CREEK"
"FORT","2705","LOWER BULLHEAD"
"FORT","2710","LOWER GETHING"
"FORT","2720","BASAL GETHING"
"FORT","2750","LONG ARM"
"FORT","2775","LOWER GETHING/UPPER DUNLEVY"
"FORT","2785","GETHING-BALDONNEL"
"FORT","2800","CADOMIN"
"FORT","2805","CHINKEH"
"FORT","2810","JACKASS MOUNTAIN"
"FORT","2820","DALHOUSIE"
"FORT","2830","BASAL CRETACEOUS SANDSTONE"
"FORT","2835","MINNES"
"FORT","2836","BICKFORD"
"FORT","2837","MONACH"
"FORT","2838","BEATTIE PEAKS"
"FORT","2839","MONTIETH"
"FORT","2840","KOOTNEY"
"FORT","2845","MORRISSEY"
"FORT","2849","ELK"
"FORT","2850","NIKANASSIN"
"FORT","2852","MIST MOUNTAIN"
"FORT","2853","MOOSE MOUNTAIN MEMBER"
"FORT","2855","CURRIER"
"FORT","2885","CADOMIN-NIKANASSIN"
"FORT","2890","BUICK CREEK"
"FORT","2900","DUNLEVY"
"FORT","2910","LOWER DUNLEVY"
"FORT","2920","JURASSIC"
"FORT","2930","BOWSER LAKE GROUP"
"FORT","2950","FERNIE"
"FORT","2960","FIRST BLACK SHALE"
"FORT","2970","SECOND BLACK SHALE"
"FORT","3000","PASSAGE BEDS"
"FORT","3010","GREEN BEDS"
"FORT","3020","GREY BEDS"
"FORT","3030","ROCK CREEK"
"FORT","3040","POKER CHIP"
"FORT","3070","HAZELTON"
"FORT","3200","NORDEGG"
"FORT","3220","RITCHIE"
"FORT","3900","YAKOUN"
"FORT","3990","MAUDE"
"FORT","4000","TRIASSIC"
"FORT","4040","NORDEGG-BALDONNEL"
"FORT","4046","BOCOCK"
"FORT","4050","PARDONET"
"FORT","4060","PARDONET-BALDONNEL"
"FORT","4090","SCHOOLER CREEK"
"FORT","4100","BALDONNEL"
"FORT","4150","BALDONNEL/UPPER CHARLIE LAKE"
"FORT","4200","TAKLA"
"FORT","4500","CHARLIE LAKE"
"FORT","4505","FIRST BROWN MARKER"
"FORT","4507","OWL"
"FORT","4510","SIPHON"
"FORT","4511","SIPHON DISCONFORMITY"
"FORT","4512","TWO RIVERS"
"FORT","4520","CECIL"
"FORT","4524","RED CREEK"
"FORT","4530","NANCY"
"FORT","4531","FIRST GREEN MARKER"
"FORT","4532","SECOND BROWN MARKER"
"FORT","4533","FLATROCK"
"FORT","4534","BOUNDARY DISCONFORMITY"
"FORT","4535","BOUNDARY LAKE"
"FORT","4536","BASAL BOUNDARY"
"FORT","4537","PINK MARKER"
"FORT","4538","YELLOW MARKER"
"FORT","4539","FIRST ORANGE MARKER"
"FORT","4540","COPLIN"
"FORT","4541","COPLIN UNCONFORMITY"
"FORT","4542","SEPTIMUS"
"FORT","4545","MICA"
"FORT","4547","LA GLACE"
"FORT","4550","KOBES"
"FORT","4560","BLUEBERRY"
"FORT","4570","FARRELL"
"FORT","4571","GROUNDBIRCH"
"FORT","4575","INGA"
"FORT","4578","COFFEE CREEK"
"FORT","4580","NORTH PINE"
"FORT","4582","BEAR FLAT"
"FORT","4585","WILDER"
"FORT","4590","PINGEL"
"FORT","4591","PURPLE MARKER"
"FORT","4592","SECOND ORANGE MARKER"
"FORT","4595","KERN"
"FORT","4596","TEA CREEK MEMBER"
"FORT","4600","TRIASSIC VOLCANIC BASEMENT"
"FORT","4605","SECOND GREEN MARKER"
"FORT","4608","TRUTCH CREEK"
"FORT","4609","LIMESTONE A BED"
"FORT","4610","A MARKER/BASE OF LIME"
"FORT","4612","LOWER CHARLIE LAKE SANDS"
"FORT","4615","B ANHYDRITE MARKER"
"FORT","4700","ARTEX"
"FORT","4702","BASE OF ARTEX"
"FORT","4705","DALE MEMBER"
"FORT","4710","COLDSTREAM MEMBER"
"FORT","4748","ARTEX/HALFWAY"
"FORT","4750","LIARD"
"FORT","4790","HALFWAY A"
"FORT","4792","HALFWAY B"
"FORT","4794","HALFWAY C"
"FORT","4798","UPPER HALFWAY"
"FORT","4800","HALFWAY"
"FORT","4802","TRIASSIC D"
"FORT","4805","LOWER HALFWAY"
"FORT","4890","DAIBER"
"FORT","4900","DOIG"
"FORT","4905","DOIG SAND"
"FORT","4910","TOAD GRAYLING"
"FORT","4920","TOAD"
"FORT","4930","GRAYLING"
"FORT","4950","SPRAY RIVER"
"FORT","4980","DOIG PHOSPHATE BEDS"
"FORT","4990","BLUESKY-GETHING-MONTNEY"
"FORT","4995","LOWER CHARLIE LAKE/MONTNEY"
"FORT","4997","DOIG PHOSPHATE-MONTNEY"
"FORT","5000","MONTNEY"
"FORT","5500","CACHE CREEK"
"FORT","5999","PALEOZOIC"
"FORT","6000","PERMIAN"
"FORT","6100","PERMO CARBONIFEROUS"
"FORT","6110","PERMO PENNSYLVANIAN"
"FORT","6150","ROCKY MOUNTAIN"
"FORT","6170","ISHBEL"
"FORT","6200","BELLOY"
"FORT","6210","FANTASQUE"
"FORT","6215","MOWITCH"
"FORT","6222","LOWER BELLOY"
"FORT","6225","BELCOURT"
"FORT","6227","BELCOURT-TAYLOR FLAT"
"FORT","6250","BELLOY-KISKATINAW"
"FORT","6260","STODDART"
"FORT","6285","KSITUAN"
"FORT","6295","UPPER TAYLOR FLAT"
"FORT","6300","TAYLOR FLAT"
"FORT","6305","LOWER TAYLOR FLAT"
"FORT","7000","MISSISSIPPIAN"
"FORT","7100","MATTSON"
"FORT","7200","UPPER KISKATINAW"
"FORT","7220","ETHERINGTON"
"FORT","7224","CARNARVON"
"FORT","7228","MARSTON"
"FORT","7230","LOOMIS"
"FORT","7232","SALTER"
"FORT","7234","BARIL"
"FORT","7236","WILEMAN"
"FORT","7240","FLETT"
"FORT","7250","KISKATINAW"
"FORT","7270","TUNNEL MTN"
"FORT","7300","LOWER KISKATINAW"
"FORT","7340","BASAL KISKATINAW"
"FORT","7350","GOLATA"
"FORT","7380","MOUNT HEAD"
"FORT","7386","PROPHET"
"FORT","7390","UPPER DEBOLT"
"FORT","7400","DEBOLT"
"FORT","7405","RUNDLE"
"FORT","7410","LIVINGSTONE"
"FORT","7420","LOWER DEBOLT"
"FORT","7450","ELKTON"
"FORT","7500","SHUNDA"
"FORT","7510","DESAN"
"FORT","7590","BEAR RIVER"
"FORT","7600","PEKISKO"
"FORT","7610","PEKISKO CARBONATE"
"FORT","7700","BANFF"
"FORT","7710","EXSHAW"
"FORT","7730","BESA RIVER"
"FORT","8000","DEVONIAN"
"FORT","8070","UPPER DEVONIAN"
"FORT","8090","KOTCHO"
"FORT","8100","WABAMUN"
"FORT","8110","PALLISER"
"FORT","8115","LOWER PALEOZOIC"
"FORT","8125","TETCHO"
"FORT","8130","TROUT RIVER"
"FORT","8132","ALEXO"
"FORT","8135","WINTERBURN"
"FORT","8145","CALMAR"
"FORT","8150","KAKISA"
"FORT","8155","MOUNT HAWK"
"FORT","8180","FAIRHOLME"
"FORT","8185","SOUTHESK"
"FORT","8190","NISKU"
"FORT","8195","ARCS"
"FORT","8200","JEAN MARIE"
"FORT","8210","HAY RIVER"
"FORT","8220","REDKNIFE"
"FORT","8240","UTAHN"
"FORT","8270","WOODBEND"
"FORT","8271","IRETON"
"FORT","8272","DUPEROW"
"FORT","8273","GROTTO"
"FORT","8275","LEDUC"
"FORT","8280","FORT SIMPSON"
"FORT","8282","PEECHEE"
"FORT","8283","PERDRIX"
"FORT","8284","CAIRN"
"FORT","8285","HORN RIVER"
"FORT","8288","DUVERNAY"
"FORT","8290","MUSKWA"
"FORT","8295","MUSKWA-OTTER PARK"
"FORT","8300","MUSKWA-OTTER PARK-SLAVE POINT"
"FORT","8310","COOKING LAKE"
"FORT","8330","FLUME"
"FORT","8340","BEAVERHILL LAKE"
"FORT","8390","MIDDLE DEVONIAN"
"FORT","8395","OTTER PARK"
"FORT","8398","ISLAND RIVER"
"FORT","8400","SLAVE POINT"
"FORT","8410","FORT VERMILLION"
"FORT","8430","ELK POINT"
"FORT","8440","WATT MOUNTAIN"
"FORT","8450","GILWOOD"
"FORT","8460","PRESQU'ILE"
"FORT","8500","SULPHUR POINT"
"FORT","8510","KLUA"
"FORT","8528","UPPER KEG RIVER"
"FORT","8530","MUSKEG"
"FORT","8540","KEG RIVER"
"FORT","8550","EVIE"
"FORT","8560","LOWER KEG RIVER"
"FORT","8580","NAHANNI"
"FORT","8585","NAHANNI-HEADLESS"
"FORT","8590","HARE"
"FORT","8600","PINE POINT"
"FORT","8620","LOWER PINE POINT"
"FORT","8640","UPPER CHINCHAGA"
"FORT","8658","HEADLESS"
"FORT","8660","CHINCHAGA"
"FORT","8678","DUNEDIN"
"FORT","8680","EBBUTT"
"FORT","8700","LOWER CHINCHAGA"
"FORT","8702","STONE"
"FORT","8704","LANDRY"
"FORT","8708","FUNERAL"
"FORT","8710","RED BEDS"
"FORT","8712","MANETOE"
"FORT","8715","GRANITE WASH"
"FORT","8720","ARNICA"
"FORT","8740","WOKKPASH"
"FORT","8750","MUNCHO-MCCONNELL"
"FORT","8752","PRE-DEVONIAN"
"FORT","8755","PRE-DEVONIAN QUARTZITE"
"FORT","8760","YAHATINDA"
"FORT","8770","SILURIAN"
"FORT","8780","NONDA"
"FORT","8900","ORDOVICIAN"
"FORT","8920","RONNING"
"FORT","9050","CAMBRIAN"
"FORT","9100","WINDSOR MOUNTAIN"
"FORT","9108","PIKA"
"FORT","9109","ELDON"
"FORT","9110","STEPHEN"
"FORT","9111","CATHEDRAL"
"FORT","9112","MOUNT WHYTE"
"FORT","9120","ELKO"
"FORT","9130","GORDON"
"FORT","9140","FLATHEAD"
"FORT","9900","PRECAMBRIAN"
"FORT","9910","WINDERMERE SYSTEM"
"FORT","9920","PURCELL SYSTEM"
"FORT","9922","ALDRIDGE"
"FORT","9925","MOYIE INTRUSIONS"
"FORT","9930","HAIGHBROOK"
"FORT","9932","KINTLA"
"FORT","9935","PHILLIPS"
"FORT","9940","GATEWAY"
"FORT","9945","SHEPPARD"
"FORT","9950","PURCELL LAVA"
"FORT","9960","SIYEH"
"FORT","9961","UPPER SIYEH"
"FORT","9962","MIDDLE SIYEH"
"FORT","9963","LOWER SIYEH"
"FORT","9965","GRINELL"
"FORT","9970","APPEKUNNY"
"FORT","9971","UPPER APPEKUNNY"
"FORT","9972","MIDDLE APPEKUNNY"
"FORT","9973","LOWER APPEKUNNY"
"FORT","9974","ALTYN"
"FORT","9975","TOMBSTONE MOUNTAIN"
"FORT","9976","WATERTON"
