"WTR_ANAL FILE"
"Uwi","Area code","Formtn code","Pool seq","Wa num","Drillng event seq","Water lab num","Sample point code","Test perf base depth (m)","Test perf top depth (m)","Sample date","Reltv densty","Water anlyss comments","Test num","Mud resstvty (mg/l)","Salnty (mg/l)","Tot solids disslvd calc (mg/l)","Restvty (mg/l)","Na contnt (mg/l)","K contnt (mg/l)","Ca contnt (mg/l)","Mg contnt (mg/l)","Ba contnt (mg/l)","Sr contnt (mg/l)","Fe contnt (mg/l)","Cl contnt (mg/l)","Br contnt (mg/l)","I contnt (mg/l)","Hco3 contnt (mg/l)","So4 contnt (mg/l)","Co3 contnt (mg/l)","Oh contnt (mg/l)","H2s contnt (mg/l)","H2s contnt desc","Test perf flag","Project code"
"100113107816W600","    ","    ","                ","00018","00","COMPOSITE, 6","","964.8","964.7","19510501","1.002","FROM PACKER FORMATION WATER. PRIMARY SAL. 24.8, PRIMARY ALKALI. 73.4, SECONDARY ALKALI. 1.8 TOTAL EPM 100.","","","0",".0031","0","1242","0","34","22","0","0","0","211","0","0","3031","42","30","0","0","","","  "
"100070307917W600","    ","    ","                ","00020","00","54-51","","936.4","936.7","19510524","0"," PRIMARY SAL. 11., PRIMARY ALKALI. 82.8, SECONDARY ALKALI. 4.2 TOTAL EPM 116.","","","0",".0035","0","1450","0","24","10","0","0","0","306","0","0","2688","6","368","0","0","NONE","","  "
"100070307917W600","    ","    ","                ","00020","00","E83-11927","","927","927","19830320","1.002","MIDDLE SAMPLE CONSISTED OF COLORLESS WATER WITH A TRACE OF SED. FE PRES.","","","0",".0047","1.34","1650","39","56","4","0","0","0","2138","0","0","1297","14","0","0","0","NIL","","  "
"100070307917W600","    ","    ","                ","00020","00","F83-3869-3","","927","927","19830320","1.003","DHS DRILLING MUD WITH COLORLESS FILTRATE. FE TRACE. LYNES DHS #168 REC'D AT 220 KPA PRESSURE AND CONTAINED GAS AND 20     MLS DRILLING MUD. F83-3900-1 TOP RES: .282 OHM/M @ 25C DRILLING MUD WITH        COLORLESS FILTRATE; -2 TOP OF TOOL RES: .270 OHM/M @ 25C SAME AS ABOVE.","","","0",".0046","1.43","1460","39","44","3","0","0","0","2113","0","0","1025","165","0","0","0","NIL","","  "
"100070307917W600","    ","    ","                ","00020","00","F83-3870-2","","927","927","19830320","1.008","BOTTOM SAMPLE CONSISTED OF COLORLESS WATER WITH A TRACE OF SED. FE PRES.","","","0",".0127",".502","1810","146","2711","41","0","0","0","6750","0","0","1952","235","0","0","0","NIL","","  "
"100162107915W600","    ","    ","                ","00021","00","1964","","887.7","887.6","19510615","1.005"," PRIMARY SAL. 13.4, PRIMARY ALKALI. 83.6, SECONDARY ALKALI. 3., TOTAL EPM 130.   SEE SAMPLES 4-51 TO 56-51. ALL THESE APPEAR TO BE THE SAME TYPE OF WATER.       SAMPL #54-51 IS TAKEN  AT TYPICAL. NOTE GRAPHIC PRESENTATION OF THIS            ANALYSIS. SEE WATER FILE 0187,520 FOR GRAPH OF THIS ANALYSI","","","0",".0053","0","2053","0","30","18","0","0","0","2207","0","0","1362","241","80","0","0","NONE","","  "
"100010908318W600","    ","    ","                ","00022","00","100-51","","1263.5","1263.4","19510918","1.112"," PRI SALI 44.4; PRI ALKAL 50.6; SEC ALKAL 5.0; TOTAL EPM 174.","","",".0006",".1704","0","63413","0","2268","496","0","0","0","99404","0","0","1465","4070","0","0","0","STRONG","","  "
"100010908318W600","    ","    ","                ","00022","00","2624-1","","932","932.7","19510822","1.022","BTM OF COLUMN SAMPLE #96-51, 97-51 APPEAR TO BE THE SAME TYPE OF WTER, A WATER RELATIVELY     HIGH IN SULPHATE. PRIMARY SAL. 82.4, PRIMARY ALKALI. 17.2, SECONDARY ALKALI.    .4, TOTAL EPM 764.","","",".0001",".0242","0","9217","0","47","111","0","0","0","10833","0","0","3424","2229","128","0","0","STRONG","","  "
"100010908318W600","    ","    ","                ","00022","00","2624-2","","937.4","937.3","19510823","1.018"," PRI SALI 85.4; PRI ALKAL 11.8; SEC ALKAL 2.8; TOTAL EPM 809.","","",".0001",".0217","0","8169","0","74","92","0","0","0","8958","0","0","3105","2762","163","0","0","STRONG","","  "
"100010908318W600","    ","    ","                ","00022","00","61-51","","747.3","747.4","19510801","1.005"," FORMATION WATER. COMPOSITE O SAMPLES 96-51, 97-51, 99-61, 2624-1, 2624-2        2624-3 PRIMARY SAL. 82.8, PRIMARY ALKALI. 15., SECONDARY ALKALI. 2.2, TOTAL EPM        760.","","","0",".0048","0","1905","0","58","18","0","0","0","1357","0","0","2960","24","0","0","0","WEAK","","  "
"100010908318W600","    ","    ","                ","00022","00","97-51","","937.4","937.3","19510823","0","BTM OF COLUMN PRIMARY SAL. 78.4, PRIMARY ALKALI. 21.4, SECONDARY ALKALI. .2 TOTAL EPM 831.","","",".0001",".0191","0","7013","0","72","76","0","0","0","8132","0","0","2708","1924","332","0","0","STRONG","","  "
"100010908318W600","    ","    ","                ","00022","00","99-51","","958.1","958","19510825","1.021","ABOVE PACKER PRI SALI 85.6; PRI ALKAL 11.2; SEC ALKAL 3.2; TOTAL EPM 630.","","",".0001",".023","0","8924","0","25","7","0","0","0","9777","0","0","4186","2185","0","0","0","STRONG","","  "
"100010908318W600","    ","    ","                ","00022","00","COMPOSITE - 6","","932.1","932.7","19510801","1.02"," PRI SALI 90.2; SEC SALI 9.6; SEC ALKAL 0.2; TOTAL EPM 5083.","","",".0001",".0228","0","8670","0","53","74","0","0","0","9734","0","0","3829","2254","105","0","0","","","  "
"100071508115W600","    ","    ","                ","00023","00","2846-2","","1058.3","1058.3","19510818","1.007"," SAMPLES 100-51 AND 101-51 APPEAR TO BE SAME TYPE OF WATER. THIS WATER QUITE     DIFFERENT FROM WATER FOUN HIGHER UP IN THE TRIASSIC. PRI SALI 94.8; SEC SALI 4.4; SEC ALKAL 0.8; TOTAL EPM 5236.","","","0",".0113","0","4423","0","26","42","0","0","0","6021","0","0","1541","2","59","0","0","","","  "
"100071508115W600","    ","    ","                ","00023","00","2846-3","","1205.1","1205.5","19510825","1.005"," PRI SALI 86.2; PRI ALKAL 11.4; SEC ALKAL 2.4; TOTAL EPM 391.","","","0",".0049","0","1970","0","6","46","0","0","0","1162","0","0","3276","3","96","0","0","","","  "
"100071508115W600","    ","    ","                ","00023","00","2846-7","","1428.5","1428","19510909","1.046"," PRI SALI 36.6; PRI ALKAL 58.8; SEC ALKAL 4.6; TOTAL EPM 179.","","",".0003",".0735","0","27339","0","494","222","0","0","0","41708","0","0","2971","1621","0","0","0","PRESENT","","  "
"200D034E082G0100","    ","    ","                ","00024","00","4269-2","","1221.2","1221","","1.028"," CLEAR COLORLESS FILTRATE WITH TRACE SEDIMENT AND H2S. FE PRESENT.","","",".0001",".0297",".25","9764","0","610","582","0","0","0","7952","0","0","8584","6623","0","0","0","YES","","  "
"200D034E082G0100","    ","    ","                ","00024","00","C84-7283","","","","","1.008","SURFACE H2O PRIM SALI 31.8; PRIM ALK 6.4; SEC ALK 61.8 REFER TO SAMPLE #4269-2","","","0",".0085",".822","1910","4","172","943","0","0","0","2000","0","0","6972","36","0","0","0","PRESENT","","  "
"100052708219W600","    ","    ","                ","00025","00","109-51","","964.1","964.4","19511023","1.012"," FORMATION WATER. PRIMARY SAL. 40.4, PRIMARY ALKALI. 51.2, SECONDARY ALKALI. 8.4 TOTAL EPM 167    COMPOSITE INCLUDES THREE CADOMIN SAMPLES 109-51, 110-51, 111-51,                AND TWO NIKANASIN SAMPLES 112-51, 113-51.","","","0",".0049","0","1839","0","85","54","0","0","0","1366","0","0","3046","11","0","0","0","NONE","","  "
"100052708219W600","    ","    ","                ","00025","00","110-51","","993.1","993","19511026","1.012"," PRIMARY SAL. 43.6, PRIMARY ALKALI. 46.6, SECONDARY ALKALI. 9.8 TOTAL EPM 175.","","","0",".0051","0","1928","0","99","40","0","0","0","1443","0","0","3122","8","0","0","0","NONE","","  "
"100052708219W600","    ","    ","                ","00025","00","111-51","","1002.7","1002.2","19511028","1.012"," SIMILAR WATER TO SAMPLE 109-51. ANALYSIS ALSO SIMILAR TO SAMPLE #60-51          AND 62-51 FROM P.R.A. FORT ST. JOHN #1 WELL.","","","0",".0038","0","2506","0","45","32","0","0","0","1035","0","0","1923","16","268","0","0","NONE","","  "
"100052708219W600","    ","    ","                ","00025","00","112-51","","1019.7","1019.6","19511101","1.017"," PRIMARY SAL. 42.2, PRIMARY ALKALI. 50.8, SECONDARY ALAKLI. 7., TOTAL EPM 138    RESEMBLES SAMPLE #109-51 AND 110-51 IN SOME WAYS BUT SHOWS CARBONATE LIKE       SAMPLE # 1129-51 AND 113-51 MAY BE A MIXED WATER.","","","0",".0048","0","1837","0","98","29","0","0","0","1083","0","0","3080","14","176","0","0","","","  "
"100052708219W600","    ","    ","                ","00025","00","114-51","","1223","1223.2","19511120","1.022"," PRIMARY SAL. 35.2, PRIMARY ALKALI. 56.4, SECONDARY ALKALI. 8.4 TOTAL EPM 170.","","",".0001",".0172","0","5696","0","517","187","0","0","0","6239","0","0","2800","3209","0","0","0","STRONG","","  "
"100052708219W600","    ","    ","                ","00025","00","COMPOSITE - 5","","964.3","964.4","19511001","1.015"," PRIM SALI 72.0; PRIM ALK 12.4; SEC ALK 15.6","","","0",".0046","0","1787","0","84","37","0","0","0","1201","0","0","2831","12","133","0","0","","","  "
"200D082L094J0200","    ","    ","                ","00026","00","F-2655","","2382.7","2382","19660105","1.014"," PRIMARY SAL. 84.2, PRIMARY ALKALI. 1.6, SECONDARY ALKALI. 14.2 TOTAL EPM 565.   ANALYSIS IS SIMILAR IN COMPOSITION TO THE TRIASSIC WATER FOUND IN P.R.A.        FORT ST. JOHN #1 NOTE HIGH SULPHATE CONTENT.","","",".0001",".0227",".302","6910","0","1442","283","0","0","0","13463","0","0","548","346","0","0","0","","","  "
"100083208317W600","    ","    ","                ","00027","00","3000-1","","1128.4","1128.1","19520209","1.004"," PRIMARY SAL. 81.8, PRIMARY ALKALI. 11.3, SECONDARY ALKALI. 6.9 TOTAL EPM 779","","","0",".0057","0","2248","0","81","59","0","0","0","1901","0","0","3072","8","0","0","0","","","  "
"100142108318W600","    ","    ","                ","00029","00","137-52","","959.6","959.5","19520205","0"," PRI SALI 52.8; PRI ALKAL 38.8; SEC ALKAL 8.4; TOTAL EPM 213.","","","0",".0049","0","1969","0","24","9","0","0","0","1484","0","0","2733","43","0","0","0","","","  "
"100142108318W600","    ","    ","                ","00029","00","138-52","","979.1","979","19520206","0"," FORMATION WATER. PRI SALI 48.8; PRI ALKAL 49.0; SEC ALKAL 2.2; TOTAL EPM 175.","","","0",".0043","0","1719","0","20","4","0","0","0","1214","0","0","2355","156","0","0","0","","","  "
"100142108318W600","    ","    ","                ","00029","00","139-52","","995.2","995.5","19520207","0"," FORMATION WATER. PRIMARY SAL. 45.6, PRIMARY ALKALI. 47.4, SECONDARY ALKALI. 7. TOTLA EPM 153.","","","0",".0042","0","1713","0","10","4","0","0","0","1179","0","0","2428","110","0","0","0","","","  "
"100142108318W600","    ","    ","                ","00029","00","140-52","","1983.1","1983.3","19520723","0"," FORMATION WATER. PRI SALI 47.2; PRI ALKAL 51.3; SEC ALKAL 1.0; TOTAL EPM 151.","","",".0003",".0915","0","31815","0","3032","404","0","0","0","53250","0","0","867","2520","0","0","0","","","  "
"100142108318W600","    ","    ","                ","00029","00","86-52","","995.2","995.5","19520208","0"," FORMATION WATER. PRI SALI 49.2; PRI ALKAL 49.0; SEC ALKAL 1.8; TOTAL EPM 182.","","","0",".0042","0","1632","0","56","32","0","0","0","1150","0","0","2532","119","0","0","0","TRACE","","  "
"100142108318W600","    ","    ","                ","00029","00","COMPOSITE - 4","","959.2","959.5","19520201","0"," FORMATION WATER. PRI SALI 88.2; SEC SALI 10.8; SEC ALKA 1.0; TOTAL EPM 1.0.","","","0",".0044","0","1758","0","28","12","0","0","0","1257","0","0","2512","107","0","0","0","","","  "
"100011508419W600","    ","    ","                ","00030","00","195-52","","2230.2","2230.5","19520727","0"," FORMATION WATER. COMPOSITE OF SAMPLES 86-52, 137-52, 138-52, 139-52. PRI SALI 47.8; PRI ALKAL 49.2; SEC ALKAL 3.0; TOTAL EPM 158.","","",".0003",".0977","0","34874","0","2794","247","0","0","0","56848","0","0","2120","1860","0","0","0","STRONG","","  "
"100011508419W600","    ","    ","                ","00030","00","3087-2","","1065.2","1065.6","19520329","1.006","SEPARATOR THE SAMPLE CONSISTED OF GREEN COLORED WATER WITH A TRACE OF SED.                A HYDRO. FILM WAS PRES ON TOP OF THE SAMPLE. FE MUCH.","","","0",".0058","0","2171","0","121","64","0","0","0","1924","0","0","3119","16","0","0","0","","","  "
"100011508419W600","    ","    ","                ","00030","00","F77-1420","","1221.8","1221.9","19770723","1.035"," FORMATION WATER. PRI SALI 90.4; SEC SALI 7.6; SEC ALKAL 2.0; TOTAL EPM 3352. APPEARS TO BE       DUPLICATE OF 157-52 REC'D AUG 23/52.","","",".0002",".0464",".152","15972","0","1281","572","0","0","0","26600","0","0","2464","733","0","0","0","MUCH","","  "
"100141508318W600","    ","    ","                ","00032","00","124-52","","994.7","994.6","19520417","0"," FORMATION WATER. PRI SALI 47.8; PRI ALKAL 48.7; SEC ALKAL 3.8; TOTAL EPM 163.","","","0",".004","0","1576","0","46","26","0","0","0","1164","0","0","2321","36","40","0","0","TRACE","","  "
"100141508318W600","    ","    ","                ","00032","00","141-52","","1447.8","1447.8","19520601","0"," PRI SALI 46.6; PRI ALKAL 40.3; SEC ALKAL 13.1; TOTAL EPM 174.","","",".0005",".1349","0","50111","0","1728","383","0","0","0","77212","0","0","987","4985","0","0","0","TRACE","","  "
"100141508318W600","    ","    ","                ","00032","00","25 P","","949.2","949.1","19520414","0"," FORMATION WATER. COMPOSITE OF SAMPLES 25P, 124-52, 3135. PRI SALI 47.0; PRI ALKAL 45.4; SEC ALKAL 7.6; TOTAL EPM 161.","","","0",".0046","0","1808","0","47","9","0","0","0","1311","0","0","2597","105","0","0","0","","","  "
"100141508318W600","    ","    ","                ","00032","00","3135","","947.1","947.6","19520413","1.004"," FORMATION WATER. PRI SALI 46.0; PRI ALKAL 48.0; SEC ALKAL 6.0; TOTAL EPM 146.","","","0",".0048","0","1750","0","100","78","0","0","0","1437","0","0","2851","14","0","0","0","YES","","  "
"100133408319W600","    ","    ","                ","00033","00","28P","","2005.6","2005.3","19520828","0"," FORMATION WATER. PRI SALI 94.8; SEC SALI 4.6; SEC ALKAL 0.6; TOTAL EPM 4593.","","",".0005",".1366","0","49950","0","2975","312","0","0","0","82896","0","0","227","301","0","0","0","","","  "
"100123408317W600","    ","    ","                ","00035","00","F90-2526","","","","19901029","1.096","SEPARATOR GREEN COLORED WATER. ANALYSIS INDICATIVE OF SALT WATER. FE PRES.","","",".0005",".1425",".068","51414","2926","2903","765","0","0","0","84250","0","0","1022","2592","0","0","0","MUCH","","  "
"100123408317W600","    ","    ","                ","00035","00","F90-2551","","","","19901102","1.1","TUBING SAMPLE CONSISTED OF PALE GREEN COLORED WATER. ANALYSIS IS INDICATIVE OF         FORMATION FLUID. FE TRACE.","","",".0005",".1513",".068","57299","2305","2903","716","0","0","0","89600","0","0","766","2667","0","0","0","MUCH","","  "
"100123408317W600","    ","    ","                ","00035","00","G90-3754-3","","1415","1415","19900811","1.006","STOCK TANK GREEN COLORED WATER. ANALYSIS IS INDICATIVE OF SALT WATER. FE PRES.","","","0",".0072","1.45","1992","23","316","10","0","0","0","80","0","0","207","4691","24","0","0","NIL","","  "
"100123408317W600","    ","    ","                ","00035","00","G90-3755-1","","1513","1513","19900811","1.007","DHS #230 BAKER OIL TOOLS DHS #230 REC'D AT 295 KPA PRESSURE. CONTAINED IN THE            CHAMBER WAS A SMALL VOLUME OF GAS AND .675 L OF WATERY MUD WITH A YELLOW        COLORED FILTRATE. ANALYSIS INDICATIVE OF MUD FILTRATE. FE NIL. SAMPLE #1 TOP OF RECOVER RESIS OF THE FILTRATE: 1.473, SAMPLE #2","","","0",".0072","1.42","1854","19","440","36","0","0","0","90","0","0","1013","4177","48","0","0","NIL","","  "
"100131708117W600","    ","    ","                ","00036","00","144-52","","1232.8","1232.6","19520629","0"," FORMATION WATER. PRIMARY SAL. 81., PRIMARY ALKALI. 14.2, SECONDARY ALKALI. 4.8 TOTAL EPM 747.","","","0",".0052","0","2042","0","58","32","0","0","0","1306","0","0","3488","15","0","0","0","","","  "
"100083108317W600","    ","    ","                ","00039","00","170-52","","1101.9","1101.9","19520723","0"," FORMATION WATER. PRI SALI 81.2; PRI ALKAL 14.2; SEC ALKAL 4.6; TOTAL EPM 1021.","","","0",".0052","0","1978","0","48","28","0","0","0","1678","0","0","1887","382","135","0","0","","","  "
"100041008317W600","    ","    ","                ","00042","00","191-52","","877.4","877.8","19520917","0"," FORMATION WATER. PRI SALI 42.4; PRI ALKAL 53.2; SEC ALKAL 4.4; TOTAL EPM 180.","","","0",".0044","0","1238","0","22","31","0","0","0","1219","0","0","2175","180","165","0","0","NONE","","  "
"100041008317W600","    ","    ","                ","00042","00","192-52","","997.7","997.6","19520922","0"," FORMATION WATER. PRIMARY SAL. 90., SECONDARY SAL. 9.6, SECONDARY ALKALI. .4 TOTAL EPM 5037.","","","0",".0044","0","1748","0","21","29","0","0","0","1246","0","0","1913","98","328","0","0","","","  "
"100041008317W600","    ","    ","                ","00042","00","193-52","","1021","1021.4","19520923","0"," FORMATION WATER. PRI SALI 46.8; PRI ALKAL 48.8; SEC ALKAL 4.4; TOTAL EPM 159.","","","0",".005","0","1980","0","20","35","0","0","0","1330","0","0","2553","32","300","0","0","","","  "
"100041108517W600","    ","    ","                ","00044","00","189-52","","1124.9","1124.7","19521012","0"," FORMATION WATER. PRIMARY SAL. 93.4, PRIMARY ALKALI. 1.6 SECONDARY ALKAILI. 5.   TOTAL EPM 1023.","","","0",".0095","0","3849","0","43","24","0","0","0","2778","0","0","5641","33","0","0","0","WEAK","","  "
"100041108517W600","    ","    ","                ","00044","00","190-52","","1211.2","1211","19521017","0"," FORMATION WATER. PRIMARYSAL. 93.6, SECONDARY SAL. 5.6, SECONDARY ALKALI. .8 TOTAL EPM 5733.","","",".0001",".0298","0","11165","0","327","118","0","0","0","16262","0","0","2078","912","0","0","0","","","  "
"100042308621W600","    ","    ","                ","00046","00","18-53","","1219.9","1219.8","19530117","0"," FORMATION WATER. PRI SALI 46.0; PRI ALKAL 51.6; SEC ALKAL 2.4; TOTAL EPM 343.","","","0",".0066","0","2642","0","28","7","0","0","0","2326","0","0","3042","69","0","0","0","","","  "
"100130108420W600","8360","4800","B               ","00047","00","198-52","","1639.6","1639.5","19521205","0"," FORMATION WATER. PRIMARY SAL. 95.8, SECONDARY SAL. 2., SECONDARY ALKALI. 2.2 TOTAL EPM 5726.","","",".0004",".1124","0","41014","0","1732","431","0","0","0","62656","0","0","498","6272","0","0","0","WEAK","","00"
"100120108317W600","    ","    ","                ","00048","00","201-52","","1024.4","1024.7","19521023","0"," PRI SALI 92.0; SEC SALI 7.6; SEC ALKAL 0.4; TOTAL EPM 3946.","","","0",".004","0","1666","0","38","22","0","0","0","793","0","0","2539","257","52","0","0","","","  "
"100120108317W600","    ","    ","                ","00048","00","205-52","","1512","1512.4","19521125","0"," FORMATION WATER. PRI SALI 43.0; PRI ALKAL 52.2; SEC ALKAL 4.8; TOTAL EPM 152.","","",".0005",".1383","0","51552","0","1910","184","0","0","0","77616","0","0","2788","5678","0","0","0","WEAK","","  "
"100120108317W600","4000","6200","A               ","00048","00","206-52","","1943","1943.4","19521218","0"," FORMATION WATER. PRI SALI 89.8; SEC ALKAL 10.2; TOTAL EPM 311.","","",".0004",".1155","0","41702","0","2944","156","0","0","0","67584","0","0","546","2826","0","0","0","WEAK","","00"
"100080508317W600","    ","    ","                ","00052","00","4-53","","845","845.8","19530109","0"," FORMATION WATER. PRI SALI 82.2; PRI ALKAL 8.2; SEC ALKAL 9.6; TOTAL EPM 648.","","","0",".0119","0","4715","0","55","34","0","0","0","4942","0","0","4340","5","0","0","0","","","  "
"100080508317W600","    ","    ","                ","00052","00","5-53","","958.9","958.6","19530113","0"," FORMATION WATER. PRI SALI 40.4; PRI ALKAL 55.6; SEC ALKAL 4.0; TOTAL EPM 179.","","","0",".0044","0","1815","0","10","11","0","0","0","1199","0","0","2788","19","0","0","0","","","  "
"100080508317W600","    ","    ","                ","00052","00","7-53","","990.6","990","19530115","0"," FORMATION WATER. PRI SALI 66.2; PRI ALKAL 31.2; SEC ALKAL 2.6; TOTAL EPM 421.","","","0",".0049","0","1972","0","52","12","0","0","0","1276","0","0","3249","12","0","0","0","","","  "
"100051408225W600","    ","    ","                ","00053","00","17-53","","620.9","620.3","19530307","0"," FORMATION WATER. PRIMARY SAL. 90.6, SECONDARY SAL. 9.4 TOTAL EPM 1495.","","","0",".0058","0","2323","0","31","7","0","0","0","1725","0","0","3127","152","0","0","0","","","  "
"100082807916W600","    ","    ","                ","00054","00","24 P","","1933.5","1933","19530406","0"," PRIMARY SAL. 94.8, SECONDARY SAL. 1.6, SECONDARY ALKALI. 3.6 TOTAL EPM 1302.","","",".0008",".2204","0","78528","0","6613","378","0","0","0","128832","0","0","2938","4600","0","0","0","STRONG","","  "
"100072408319W600","    ","    ","                ","00056","00","11-53","","1228.7","1228.6","19530220","0"," FORMATION WATER. PRI SALI 91.4; SEC SALI 6.2; SEC ALKAL 2.4; TOTAL EPM 3330.","","",".0007",".199","0","77408","0","7212","219","0","0","0","120032","0","0","509","1330","0","0","0","","","  "
"100072408319W600","    ","    ","                ","00056","00","4 P","","1993.1","1993.7","19530406","0"," FORMATION WATER. PRI SALI 90.4; SEC SALI 8.4; SEC ALKAL 1.2.","","",".0004",".0974","0","35044","0","2673","109","0","0","0","55616","0","0","2406","2783","0","0","0","STRONG","","  "
"100032908318W600","    ","    ","                ","00058","00","7 P","","985.8","985.7","19530409","0"," FORMATION WATER. PRI SALI 98.4; SEC SALI 1.4; SEC ALKAL 0.2; TOTAL EPM 6839.","","","0",".0049","0","1858","0","80","56","0","0","0","1509","0","0","2523","64","125","0","0","NONE","","  "
"100103308217W600","    ","    ","                ","00060","00","5 P","","1246.2","1246.3","19530409","0"," MAY BE MIXTURE OF WATERS. PRI SALI 85.6; PRI ALKAL 12.2; SEC ALKAL 2.2; TOTAL EPM 491.","","",".0006",".163","0","56610","0","6351","356","0","0","0","95814","0","0","4452","1632","0","0","0","STRONG","","  "
"200A079B094H0400","    ","    ","                ","00061","00","807P","","","","19650615","1.004"," FORMATION WATER. PRI SALI 87.8; SEC SALI 9.6; SEC ALKAL 2.6; TOTAL EPM 5616. EMULSION AS REC'D   CUT 10% OIL AND 80% WATER AND 10% SEDIMENT. GRAVITY OF OIL 31.1 API.","","","0","0","0","136","0","26","17","0","0","0","71","0","0","0","318","0","0","0","NIL","","  "
"100120708418W600","    ","    ","                ","00062","00","29 P","","1012.2","1012.2","19530527","0","OFF LEASE PRIMARY SAL. 68.6, SECONDARY SAL. 31.4, TOTAL EPM 17. SAMPLE CONTAINED 360      P.P.M. ACID EXPRESSED AS HCL.","","","0",".0058","0","2240","0","49","28","0","0","0","1764","0","0","2612","261","125","0","0","","","  "
"100010208419W600","    ","    ","                ","00063","00","34 P","","1508.1","1508.8","19530530","0"," FORMATION WATER. PRI SALI 54.0; PRI ALKAL 41.4; SEC ALKAL 4.6; TOTAL EPM 204.","","",".0006",".173","0","65130","0","2351","236","0","0","0","100920","0","0","1411","4016","0","0","0","STRONG","","  "
"100052608118W600","    ","    ","                ","00066","00","38 P","","1217.3","1217.7","19530701","0"," FORMATION WATER. PRI SALI 89.0; PRI ALKAL 3.0; SEC ALKAL 8.0; TOTAL EPM 637.","","","0",".0044","0","1708","0","60","28","0","0","0","1043","0","0","2754","74","104","0","0","","","  "
