"PROJECTS FILE"
"Area Code","Formtn Code","Pool Seq","Project Code","Project Name","Project Type","Proj Revns Num","Proj Doa","Proj Dga","Proj Eff Date","Proj Apprvl Date","Proj Term Date","Proj Area","PE Num"
"3540","4100","E","02","SAMSON PROJECT","GEPG","","","","20030619","20030619","","94-A-13 Block A - Units 56, 57, 66, 67, 76, 77, 86 & 87.","1047"
"3600","4580","D","06","CALAHOO PROJECT","CONC","1","20","8.5","19840919","19991119","","Twp 83 Rge 17 - Sect 31 Twp 83 Rge 18 - E/2 Sect 36.","0343"
"4600","4575","A","02","BERKLEY PROJECT","CONC","1","","120","20000524","20000524","","Twp 86 Rge 25 - Sect 34, 35 Twp 87 Rge 25 - Sect 1, 2, 11.","0357"
"4600","4800","A","02","ANADARKO PROJECT","GEPG","","","","20010716","20010716","","Twp 86 Rge 25 - Sect 34, 35 Twp 87 Rge 25 - Sect 1, 2, 11, 12.","0391"
"4600","4800","B","02","CNRL PROJECT","CONC","","90.4","72.3","19990304","19990304","","Twp 88 Rge 25 - Sect 14","0317"
"4650","2600","A","05","HARVEST PROJECT","PMWF","10","1696","","20000401","20000106","","NTS 94-I-9: Block A – units 94-100 Block B – units 72-74, 78-80, 82-100 Block C – units 71-73, 81-83, 91-93 Block F – units 1-100	 Block G – units 1-100 Block H – units 4-100 Block I – units 1-37, 41-47, 51-57, 61-67, 71-77, 81-87 Block J – units 1-11, 21		 Block K – units 1-9, 12-15, and 22-25.  ","0349"
"5100","4800","A","02","PETRO-CAN PROJECT","GEPG","","","","19710515","19710515","","94-G-1 Block D - Units 18, 19, 28, 29, 38-40, 48-50  94-G-2 Block A - Units 31, 41.","0095"
"5170","2000","A","02","CANHUNTER PROJECT","GEPG","","","","19860825","19860825","","93-P-1 Block A - Units 51-100              Block B - Units 51-53, 61-63, 71-75, 81-85, 91-95              Block G - Units 1-5, 11, 21, 31, 41              Block H - Units 1-50, 51-59, 61-69, 71-79, 81-89, 91-99              Block I - Units 1-9, 11-19, 21-29, 31-39, 41-49, 51-59, 61-69, 71-75, 81-85.","0154"
"5170","2200","D","02","CANHUNTER PROJECT","GEPG","","","","19860825","19860825","","93-P-1 Block A - Units 51-100              Block B - Units 51-53, 61-63, 71-75, 81-85, 91-95              Block G - Units 1-5, 11, 21, 31, 41              Block H - Units 1-50, 51-59, 61-69, 71-79, 81-89, 91-99              Block I - Units 1-9, 11-19, 21-29, 31-39, 41-49, 51-59, 61-69, 71-75, 81-85.",""
"5300","8600","A","02","APACHE PROJECT","GEPG","","","","20031210","20031210","","94-O-8: Block A - Units 31-33, 41-43, 51-53, 61-63 94-P-5: Block D - Units 38-40, 48-50, 58-60 and 68-70.","1078"
"5400","8400","B","02","PETRO-CAN PROJECT","GEPG","","","","19740301","19740301","","94-I-14 Block K - Units 34, 35, 44, 45, 54-59, 64-69, 72-79, 82-89, 92-95 94-P-3 Block C - Units 2-5, 12-15, 22, 25, 34, 35, 44, 45, 54-60, 64-70, 80, 90, 100               Block D - Units 51, 61, 71, 81, 91               Block E - Units 1, 11, 21, 31-35, 41-45, 54-57, 64-67               Block F - Units 10, 20, 30, 40, 50.","0073"
"5480","8600","B","02","DEVON PROJECT","GEPG","","","521","20041005","20041005","","94-I-14 Block A - Units 38, 39, 48 and 49.","1156"
"5560","4800","C","02","CNRL PROJECT","PMWF","2","","","19981028","19990902","20200529","94-H-10 Block C - Units 38, 48, 49, 58 and 59.","0285"
"6200","4800","H","02","POCO PROJECT","CONC","","61.7","25","19921209","19921209","","Twp 87 Rge 19 - Sect 1",""
"6230","4805","A","03","DEVON PROJECT","PMWF","","42.3","","20030226","20030110","20200710","Twp 87 Rge 18 - Sect 13.","1024"
"6400","4100","A","03","HUBER PROJECT","CONC","","12.6","9.9","19780717","19780717","","94-H-4 Block A - Units 52,53,62,63.","0088"
"6410","2600","A","02","CNRL PROJECT","GEPG","","","","20030905","20030905","","94-H-3 Block L - Units 80, 90, 100 94-H-4 Block I - Units 18-20, 28-30, 36-40, 46-50, 54-60, 64-97               Block J - Units 11-13, 21-23, 31-37, 41-47, 51-57, 61-67, 71-73, 81-83 94-H-5 Block A - Units 1-7, 12, 13, 22, 23 94-H-6 Block D - Unit 10.","1055"
"6430","2505","A","02","CANHUNTER PROJECT","GEPG","2","","","19880804","19880804","20050207","93-P-1 Block E - Units 31-37, 41-47, 51-60, 61-70, 71-80, 81-90, 91-100               Block F - Units 36-40, 46-50, 58-60, 68-70, 78-80, 88-90, 98-100               Block K - Units 8-10               Block L - Units 1-10, 12-20, 22-30, 32-40, 42-50, 52-60, 62-70, 72-80, 82-90, 92-100 93-P-2 Block H - Units 51, 61, 71-73, 81-83, 91-93               Block I - Units 1-3, 11, 21, 31, 41, 51-60, 61-70, 71-80, 81-90, 91-100               Block J - Units 51-59, 61-69, 71-73, 81-83, 91-93 93-P-7 Block A - Units 1-10, 11-15, 21-25, 31-35, 41-45, 51-53, 61-63               Block B - Units 1-3 93-P-8 Block D - Units 2-10, 14-17, 20, 24-27, 30, 34-40, 44-50, 54-60, 64-70.",""
"6430","2625","B","02","CANHUNTER PROJECT","GEPG","2","","","19880804","19880804","20050207","93-P-1 Block E - Units 31-37, 41-47, 51-60, 61-70, 71-80, 81-90, 91-100               Block F - Units 36-40, 46-50, 58-60, 68-70, 78-80, 88-90, 98-100               Block K - Units 8-10               Block L - Units 1-10, 12-20, 22-30, 32-40, 42-50, 52-60, 62-70, 72-80, 82-90, 92-100 93-P-2 Block H - Units 51, 61, 71-73, 81-83, 91-93               Block I - Units 1-3, 11, 21, 31, 41, 51-60, 61-70, 71-80, 81-90, 91-100               Block J - Units 51-59, 61-69, 71-73, 81-83, 91-93 93-P-7 Block A - Units 1-10, 11-15, 21-25, 31-35, 41-45, 51-53, 61-63               Block B - Units 1-3 93-P-8 Block D - Units 2-10, 14-17, 20, 24-27, 30, 34-40, 44-50, 54-60, 64-70.",""
"6460","4100","H","02","CANETIC PROJECT","CONC","","39.1","13.9","20060928","20060928","","Section 30-86-18 W6M","1313"
"6460","4520","B","02","PENGROWTH UNIT","PMWF","2","75","","20040607","20040216","","Twp 86 Rge 18 - N/2 sect 12, sect 13 and SE/4 sect 24.","1099"
"7600","2900","A","02","PROCYON PROJECT","PMWF","","","","20111115","20111006","20180201","DLS 87-17 W6M Section 22 - Lsds 1, 2, 7, 8                          Section 23 - Lsds 3, 4, 5 and 6. ","1634"
"7600","4800","F","02","TALISMAN PROJECT","GEPO","","39.8","","19971117","19971117","","Twp 88 Rge 16 - W/2 Sec 9 and SW/4 Sec 16.","0280"
"7660","4990","A","02","CANHUNTER BORDER UNIT B","GEPG","","","","19920430","19920405","","94-H-9: Block H - Units 51-53,61-63,71-77,81-87,91-97 Block I - Units 1-7,11-79,81-89,91-100 Block J - Units 11,21,31-33,41-43,51,61,91-93,96-100 Block K - Units 91-95 94-H-16: Block A - Units 1-100 Block B - Units 1-3,6-100 Block C - Units 1-5,11-17,21-27,31-39,41-49,51-59,61-69,71-100 Block D - Units 71,81,91 Block E - Units1,11-15,21-25,31-35,41-45,51-55,61-65,71-75,81-85,91 Block F - Units 1-100 Block G - Units 1-70,72-80,82-90,94-100 Block H - Units 1-55,60-65,70 Block J - Units 4-10,14-20,24-30,38-40,48-50,58-60,68-70 Block K - Units 1-19,21-29,31-39,41-49,51-70,72-80,82-90 Block L - Units 51,61,71,81. Note: The area description is that of the named Unit agreement at the time of GEP approval, and may now vary. ","0190"
"7660","4990","E","02","CANHUNTER BORDER UNIT B","GEPG","","","","19920430","19920405","","See Ring Bluesky-Gething-Montney  A  pool for Unit area. ",""
"7900","2600","A","02","PENGROWTH PROJECT","CONC","","","30","20071220","20071220","","87-20 W6M - NW/4 section 35 88-20 W6M - SW/4 section 2","1401"
"7900","4580","A","02","RANGER PROJECT","GEPO","","","","19920129","19920129","","Twp 87 Rge 19 - S/2 Sect 26 and SE/4 Sect 27.","0183"
"8000","4580","G","04","PENGROWTH PROJECT","PMWF","","","","20090911","20090427","","Twp 86 Rge 19 W6M - Sections 16, 21 & SW/4 Section 22.","1478"
"8060","6200","A","03","ENCAL PROJECT","CONC","","","","19830210","19830210","","Twp 85 Rge 19 - N/2 Sec 19, W/2 Sec 20, W/2 Sec 29, S/2 Sec 30.","0030"
"8100","4582","A","02","CUBE PROJECT","CONC","","6.4","11.3","19810421","19810421","","Twp 85 Rge 20 - SE/4 Sect 25.","0129"
"8100","4700","A","03","SCURRY PROJECT","GEPO","","10","7.5","19930729","19930729","","Twp 85 Rge 20 - NE/4 Sect 21.","0200"
"8110","4060","A","02","TALISMAN PROJECT","GEPG","","","1820.1","19790104","19790104","","93-P-4 Block I - Units 72-79, 82-89, 92-99 93-P-5 Block A - Units 2-9, 14-20, 24-30, 34-40, 44-50, 58-60, 68-70, 78-80, 88-90               Block B - Units 11-13, 21-23, 31-35, 41-45, 51-57, 61-67, 71-77, 81-87.","0046"
"8130","4520","A","02","IMPERIAL PROJECT","PMWF","1","","","19970523","19961122","20200131","Twp 79 Rge 18 - W/2 & NE/4 Sec 19, Sec 30, 31 and W/2 sec 32 Twp 79 Rge 19 - E/2 Sec 24 and E/2 sec 25 Twp 80 Rge 18 - Sec 5, E/2 & SW/4 Sec 6, NE/4 Sec 7, Sec 8, W/2 Sec 16, Sec 17, SE/4 Sec 18, E/2 Sec 20, Sec 21, Sec 28, SE/4 Sec 29 and Sec 33.","0247"
"8200","4510","A","03","PROGRESS PROJECT","PMWF","3","210.6","","20050117","20040601","","Twp 83 Rge 16 - NW/4 sect 4, sect 5, NE/4 sect 6, S/2 & NE/4 sect 7 and sect 8.","1123"
"8300","4800","K","06","ENCAL PROJECT #1","CONC","","22.6","15","19910121","19910121","","94-A-15 Block I - Unit 70             Block J - Units 61,71.","0178"
"8300","4800"," ","03","CNRL UNIT #2","PMWF","","181.6","","19680301","19680301","20200911","94-A-15 Block J - Units 93, 94 94-H-2 Block B - Units 3 - 5, 13 - 15, 23.","0013"
"8400","4800","A","02","CNRL UNIT #1","PMWF","","526.8","","19750201","19750201","20200914","94-H-2 Block A - Units 23-25, 33-36, 44-46, 54-56, 65, 66, 75, 76, 85, 86, 95, 96.","0021"
"8400","4805","B","03","CALPINE PROJECT","CONC","","","","20010528","20010528","","94-H-2 Block A - Units 5 - 7.","0387"
"0050","8400","C","02","BERKLEY PROJECT","GEPG","","","","19990910","19990910","","94-J-2 Block G - Units 71, 81 and 91              Block H - Units 78-80, 88-90, 98-100              Block I --Units 8-10              Block J - Unit  1.","0337"
"0380","4582","B","02","DEVON PROJECT","CONC","","20","10","20040217","20030929","","Twp 84 Rge 20 - Sect 29","1069"
"0380","4582","D","02","DEVON PROJECT","CONC","","10","5","20040327","20030826","","Twp 84 Rge 20 - Sect 20","1058"
"1400","2900","A","02","SUNCOR PROJECT","GEPG","","","","19991102","19991102","","Twp 88 Rge 24 - Sect 30 and frac Sect 31 Twp 88 Rge 25 - Sect 25, frac Sect 26, frac Sect 35 and frac Sect 36 94-A-12 Block K - frac Units 5-10, Units 16-19, 26-29, 36-40, 46-50, 56-60 and 66-70                 Block L - Units 31, 41, 51 and 61.","0344"
"1400","2900","A","03","DOMINION PROJECT","GEPG","","","","20030321","20030321","","Twp 88 Rge 24 - Sect 7","1036"
"2000","4535","A","02","ESSO UNIT #1","PMWF","18","3035","","19640501","19640601","","Twp 84 Rge 13 W6M	Fractional NW/4 Section 16, N/2 Section 17, Sections 18, 19, N/2 & SW/4 Section 20, Fractional NW/4 Section 21, Fractional Section 28, Sections 29, 30, 31, 32, Fractional Section 33 Twp 84 Rge 14 W6M	NW/4 Section 2, Section 3, N/2 Section 4, N/2 Section 7, NW/4 Section 8, E/2 Section 9, Sections 10, 11, NW/4 Section 12, Sections 13, 14, 15, 16, 17, E/2 Section 18, E/2 Section 20, Sections 21, 22, 23, 24, 25, 26, 27, E/2 Section 28, Sections 34, 35, and 36 Twp 85 Rge 13 W6M	Fractional Section 4, Sections 5, 6, 7, 8, Fractional Section 9, Fractional Section 16, Section 17, S/2 Section 18, S/2 Section 20, Fractional SW/4 Section 21 Twp 85 Rge 14 W6M 	Sections 1, 2, 3, NE/4 Section 4, E/2 Section 9, Sections 10, 11, NW/4 Section 12, SW/4 Section 13, Section 14, S/2 & NE/4 Section 15. ","0006"
"2100","4700","A","02","CANHUNTER BRASSEY PROJECT #1","PMGI","15","","","19900406","19890629","20030731","93-P-10 Block B - Units 80, 89, 90                 Block C - Units 61-63, 71-73, 81-83, 91-95                 BlocK F - Units 2-4, 12-15, 22-25, 33-36, 43-46, 53-56 Twp 76 Rge 19 - partial Lsd's 15,16 Sect 35 & partial Lsd's 13-16 Sect 36 Twp 77 Rge 19 - Sect 1, Sect 2 E/2, Sect 11 E/2 and Sect 12.","0165"
"2400","4805","B","04","CNRL PROJECT","CONC","2","","85","19900207","19900207","","94-A-11 Block I - Units 56 - 58, 66 - 68, 77 and 78.","0172"
"2400","4805","I","09","CNRL PROJECT","CONC","2","","137","19970205","19970205","","94-A-14 Block A - Units 43, 53, 54, 63 - 65, and 73 - 75.","0234"
"2920","4800","A","02","CNRL PROJECT","GEPG","","","","20030813","20030813","","94-A-11 Block L - Units 16-19, 26-29, 36-39, 46-49, 56-59 and 66-69.","1063"
"2920","4900","C","02","DOMINION PROJECT","CONC","","54.7","65.6","20040128","20040128","","Twp 87 Rge 22 - Sect 33 Twp 88 Rge 22 - Sect 3, SE/4 Sect 4 and Sect 5.","1087"
"2960","4520","B","02","SCURRY PROJECT","CONC","","6.8","38.2","19820624","19820624","","Twp 84 Rge 18 -Sect 13","0157"
"2960","4580","A","06","CNRL PROJECT","CONC","","","10.8","20000411","20000411","","Twp 84 Rge 17 - Sect 32","0352"
"3410","7600"," ","02","ISH PROJECT","GEPO","2","","","19960424","19960424","","94-P-2 Block K - Units 78-80, 88-90, 98-100               Block L - Units 52-54, 62-64, 71-73, 81-83, 99, 100 94-P-3 Block I - Unit 91 94-P-6 Block A - Unit 1 94-P-7 Block C - Units 8-10, 18-20, 30, 60, 68-70, 78-80, 88-90, 96-100               Block D - Units 1-3, 9-13, 21-23, 31-36, 39, 41-49, 51, 52, 54-57, 61-67, 71-77, 81-87, 91-97               Block E Units 1-7, 11-17, 21-27, 31, 34-39, 41, 44-49               Block F Units 6-10, 18-20, 28-30, 38-40, 48-50, 59, 60, 69 and 70.","0238"
"3580","4800","G","02","CNRL PROJECT","GEPO","2","125","","19940720","19940720","","Twp 85 Rge 17 - E/2 Sect 8, SW/4 Sect 16, Sect 17, E/2 Sect 20 and E/2 Sect 29.",""
"3600","6200","G","02","RIGEL PROJECT","GEPO","1","0","0","19940810","19940810","","Twp 84 Rge 19 - SW/4 Sect 13","0213"
"4000","4800","A","02","SAMSON PROJECT","GEPG","","","60","20030612","20030612","","Twp 82 Rge 17 - Sect 32","1046"
"4380","2500","A","02","CNRL UNIT #1","GEPG","","","518.7","19771201","19771201","","93-I-15 Block G - Units 11, 21, 31-33, 41-43, 51-55, 61-65, 71-79, 81-89, 94-99               Block H - Units 16-20, 26-30, 38-40, 48-50, 60, 70, 80, 90               Block J - Units 4-9, 14-19, 24-29. Note: The area description is that of the named Unit agreement at the time of GEP approval, and may now vary. ","0196"
"4380","4100","A","02","CNRL UNIT #2","GEPG","","","266.9","19771201","19771201","","93-I-15 Block G - Units 31-33, 41-43, 51-55, 61-65, 71-79, 81-89, 94-99               Block H - Units 16-19, 26-29, 38-40, 48-50, 60, 70, 80, 90               Block J - Units 4-9, 16-19, 26-29. Note: The area description is that of the named Unit agreement at the time of GEP approval, and may now vary.",""
"4900","4575","A","08","PURSUIT UNIT #5","PMWF","","100.1","","19721201","19721201","20200130","Twp 87 Rge 23 - N/2 Sect 4, Sect 9, 16, 21, 28.","0015"
"5150","8400","A","02","TALISMAN PROJECT","GEPG","","","321.7","19800303","19800303","20050324","94-I-6 Block J - Units 80, 90, 100             Block K - Units 71-75, 81-85, 91-95 94-I-11 Block B -  Units 10, 60, 70, 80, 90, 100               Block C - Units 1-5, 14,15,24,25, 34, 35, 44, 45, 51, 58, 59, 61, 68, 69, 71, 76-79, 81, 86-89, 91, 98, 99               Block F - Units 1, 8, 9               Block G - Unit 10.","0040"
"5170","2200","B","02","CANHUNTER PROJECT","GEPG","","","","19860825","19860825","","93-P-1 Block A - Units 51-100              Block B - Units 51-53, 61-63, 71-75, 81-85, 91-95              Block G - Units 1-5, 11, 21, 31, 41              Block H - Units 1-50, 51-59, 61-69, 71-79, 81-89, 91-99              Block I - Units 1-9, 11-19, 21-29, 31-39, 41-49, 51-59, 61-69, 71-75, 81-85.","0140"
"5500","2600","F","02","CNRL PROJECT","CONC","","","28","20060131","20060131","","94-H-1 Block G - unit 73.","1255"
"5600","4540","B","04","CREW PROJECT","CONC","","70","24.8","20070514","20070514","","94-G-8 Block H - units 14, 15, 25, 35, 36, 46, 56","1362"
"6140","4800","V","02","ENCANA PROJECT","GEPG","3","","","20040129","20040129","","Twp 82 Rge 22 - Sect 7, 18, 19 Twp 82 Rge 23 - Sect 1, 3, 10 - 13.","1089"
"6230","4800"," ","03","SAMSON PROJECT","CONC","","","30","","20011109","","Twp 87 Rge 18 - Sect 27","0402"
"6430","2200","C","02","CANHUNTER PROJECT","GEPG","2","","","19880804","19880804","20050207","93-P-1 Block E - Units 31-37, 41-47, 51-60, 61-70, 71-80, 81-90, 91-100               Block F - Units 36-40, 46-50, 58-60, 68-70, 78-80, 88-90, 98-100               Block K - Units 8-10               Block L - Units 1-10, 12-20, 22-30, 32-40, 42-50, 52-60, 62-70, 72-80, 82-90, 92-100 93-P-2 Block H - Units 51, 61, 71-73, 81-83, 91-93               Block I - Units 1-3, 11, 21, 31, 41, 51-60, 61-70, 71-80, 81-90, 91-100               Block J - Units 51-59, 61-69, 71-73, 81-83, 91-93 93-P-7 Block A - Units 1-10, 11-15, 21-25, 31-35, 41-45, 51-53, 61-63               Block B - Units 1-3 93-P-8 Block D - Units 2-10, 14-17, 20, 24-27, 30, 34-40, 44-50, 54-60, 64-70.",""
"6430","2625","C","02","CANHUNTER PROJECT","GEPG","2","","","19880804","19880804","20050207","93-P-1 Block E - Units 31-37, 41-47, 51-60, 61-70, 71-80, 81-90, 91-100               Block F - Units 36-40, 46-50, 58-60, 68-70, 78-80, 88-90, 98-100               Block K - Units 8-10               Block L - Units 1-10, 12-20, 22-30, 32-40, 42-50, 52-60, 62-70, 72-80, 82-90, 92-100 93-P-2 Block H - Units 51, 61, 71-73, 81-83, 91-93               Block I - Units 1-3, 11, 21, 31, 41, 51-60, 61-70, 71-80, 81-90, 91-100               Block J - Units 51-59, 61-69, 71-73, 81-83, 91-93 93-P-7 Block A - Units 1-10, 11-15, 21-25, 31-35, 41-45, 51-53, 61-63               Block B - Units 1-3 93-P-8 Block D - Units 2-10, 14-17, 20, 24-27, 30, 34-40, 44-50, 54-60, 64-70.",""
"6440","4580","B","02","REMINGTON PROJECT","CONC","","0","60","19790627","19790627","","Twp 85 Rge 18 - Sect 13","0049"
"6460","4520","E","03","PENGROWTH PROJECT","PMWF","5","","","19960301","20010209","","Twp 86 Rge 18 -  NW/4 Sect 17, Sect 20, W/2 Sect 28, S/2 and NE/4 Sect 29, SE/4 Sect 32 and Sect 33.","0240"
"6460","4520","I","03","APACHE PROJECT","PMWF","4","100","","19980827","19970925","","Twp 86 Rge 17 - NE/4 Sect 17, E/2 & SW/4 Sect 20, W/2 Sect 21, Sect 28, E/2 Sect 29 and Sect 33.","0278"
"6500","4800","E","05","CNRL PROJECT #3","CONC","","15.9","14.1","19871218","19871218","","94-A-15 Block J - Unit 43.","0044"
"6800","4800"," ","02","CNRL UNIT #1","PMWF","","704","","19640418","19640418","20191129","94-A-15 Block H - Units 61, 81 94-A-16 Block E - Units 8, 18, 19, 27-29, 37-39, 47-49, 57-60, 67-70, 79, 80, 90, 100.","0009"
"7275","4800","A","02","POCO PROJECT","GEPG","","","","19870318","19870318","","Twp 85 Rge 17 - Sect 25.","0115"
"7300","7400","A","02","OLYMPIA PROJECT","GEPG","","","442.3","19780131","19780131","20170831","94-G-6 Block I - Units 12-15, 22-25, 32-35, 42-45, 52-57, 62-67, 72-77, 82-87, 94-97 94-G-11 Block A - Units 4-7.","0152"
"7600","2600","D","02","DOMINION PROJECT","GEPG","3","","","19970724","19980707","","Twp 88 Rge 16 - Sect 30     Twp 88 Rge 17 - Sect 4, 5, 8, 9, 16, 17, 19-30 & frac 31-36  Twp 88 Rge 18 - Sect 22-27 & frac 32-36  94-A-10 Block I - frac units 16-20 & units 26-30, 32-40, 42-50, 56-60, 66-70, 78, 79, 88 & 89                  Block J - frac units 11-20 & units 21-70, 72-80, 82-90 and 100                 Block K - frac units 11-17 & units 21-27, 31-35, 41-45, 51-53, 61-63, 71, 72, 81, 82 and 91 94-A-15 Block B - units 10, 18-20, 28-30, 40 and 50                 Block C - units 1, 11-13, 21-23, 31 and 41.","0267"
"7600","4800","C","02","ARCHEAN PROJECT","PMWF","1","107.1","","19960123","19951114","20190922","Twp 88 Rge 16 - SE/4 Sect 32, Frac NE/4 Sect 32, SW/4 Sect 33, Frac NW/4 Sect 33 94-A-9 Block L - Frac Unit 20, Units 30,40,50 94-A-10 Block I - Frac Unit 11, Units 21,31,41.","0230"
"7600","4800","H","03","HUNT OIL PROJECT #1","PMGI","","","","20101101","20101101","20201113","Twp 88-Rge 18 W6M: sec 4, sec 5, sec 17-20 Twp 88-Rge 19 W6M: sec 13 and sec 24. ","1593"
"7720","8600","A","02","CNRL PROJECT","GEPG","","","637","19840321","19840321","20170831","94-J-15 Block A - Units 18, 19, 20, 28-30, 38-40, 48-50                Block B - Units 11, 21, 31, 41.","0079"
"7770","8600","D","02","MOBIL PROJECT","GEPG","","","","19990809","19990809","","94-I-11 Block K Units 40, 50, 60 and 70                                       Block L Units 31-33, 41-43, 51 and 61","0329"
"7775","7400","G","02","ACANTHUS PROJECT","GEPG","","","485","19880323","19880323","","94-G-2 Block L - Units 36, 37, 46, 47, 56-59, 66-69, 76-79, 86-89.","0134"
"8000","4520","C","02","PETRO-CAN PROJECT","CONC","","9.9","17.5","19810801","19810801","","Twp 86 Rge 19 - N/2 Section 19.","0119"
"8000","4580","F","02","CALAHOO PROJECT","CONC","1","40","14.2","19980312","19980312","","Twp 86 Rge 19 - S/2 & NW/4 of Sect 12 and SW/4 of Sect 13.","0290"
"8000","6200","C","02","PROGRESS PROJECT","GEPO","","114.3","","20040604","20040604","","Twp 85 Rge 19 - Sect 31 Twp 85 Rge 20 - NE/4 Sect 25, SE/4 Sect 35 and Sect 36. ","1124"
"8360","6200","B","02","WAINOCO UNIT #1","GEPG","","","","19711101","19711101","19950401","Twp 83 Rge 19 - Sect 16, 19 - 21, 29 - 31 Twp 83 Rge 20 - E/2 Sect 24, E/2 & NW/4 Sect 25, Sect 36. Note: The area description is that of the named Unit agreement at the time of GEP approval, and may now vary.","0042"
"8400","4800","A","05","SUMMIT PROJECT","GEPG","","","77.2","19941213","19941213","","94-H-2 Block A - Units 94, 95               Block H - Units 4, 5, 14, 15, 24, 25, 34, 35, 44, 45.","0216"
"2700","2900","U","02","DOMINION PROJECT","CONC","","50","28","20040724","20040724","","94-A-14 Block K - Unit 77.","1135"
