"PST FILE"
"UWI","Area_code","Formtn_code","Pool_seq","Wa_num","Compltn_event_seq","Press_survey_datum_depth","Pst_Comments","Abs_Gauge","Project_code"
"100052708521W600","7400","4800","A","00093","00","819","ABANDONED","A","00"
"100052708521W602","7400","4582","A","00093","02","706","ABANDONED","A","00"
"202D087D094A1300","1400","2900","B","00094","00","366","MPP of 1316.8 mCF used for PST calculations.","A","02"
"200C014C094A1400","2800","2900","A","00095","00","351","Open hole Completion","A","00"
"200D083J094A1100","2400","4520","A","00096","00","496","Well no longer commingled, effective 1978/03/01.","A","00"
"200D083J094A1102","2400","2900","C","00096","02","373","Well no longer commingled effective 1978/03/01","A","00"
"200D095K094A1100","2800","2900","A","00099","00","351","","A","00"
"100060608613W600","2000","4535","A","00101","00","533","","A","03"
"100060708520W602","9000","4500","06-07-085-20-W6M","00102","02","587","","A","00"
"200B038C094A1302","1600","4800","A","00103","02","1424","","","00"
"200B038C094A1303","1600","4100","A","00103","03","549","","A","00"
"100143608619W600","6200","4520","A","00104","00","544","","A","00"
"100050108725W600","4600","4100","A","00107","00","411","","A","02"
"200C079J094A1100","2400","2900","C","00110","00","373","","A","00"
"200B025I094B1600","0800","4100","A","00112","00","449","","A","00"
"200B025I094B1604","","","","00112","04","449","","A",""
"100163208619W600","6200","2600","A","00119","00","325","","A","00"
"200B049L094B0900","2990","4100","A","00120","00","661","","A","02"
"200B049L094B0902","2990","2600","A","00120","02","","","","00"
"200D038L094B0903","2990","4100","A","00120","03","661","Horizontal Well! Avg depth of Hz section= 1491.7 mCF.","A","02"
"200D080C094H0100","9000","2900","D-080-C/094-H-01","00122","00","279","RE PERF @ 1033.2-1036.3 M KB (1975/03/05). PREVIOUS MPP = 1029.9 M CF.","A","00"
"200A049B094H1600","7660","8400","A","00129","00","1687","","A","00"
"100042708817W600","7600","2900","F","00130","00","364","","A","00"
"200A012G094H0400","6400","4100","A","00131","00","426","","A","02"
"100022708216W600","9000","6200","02-27-082-16-W6M","00135","00","1335","","A","00"
"200D094I094B0800","5200","7400","","00141","00","1403","","","00"
"200D094I094B0802","5200","4500","B","00141","02","739","Approved to commingle Charlie Lake and Halway (2004/08/12).","A","00"
"200D094I094B0803","5200","4800","A","00141","03","956","Approved to commingle Charlie Lake and Halfway (2004/08/12).","A","00"
"100072108715W600","5540","4100","B","00145","00","367","","","00"
"100072108715W602","5540","2900","A","00145","02","354","","A","00"
"100140608613W600","2000","4535","A","00152","00","533","","A","03"
"100062908115W600","6600","8100","A","00153","00","2591","OPEN HOLE","A","00"
"100123107814W600","9000","6200","12-31-078-14-W6M","00154","00","2413","","","00"
"100123107814W602","9000","6200","12-31-078-14-W6M","00154","02","1676","","A","00"
"200A050C094J0900","5180","8400","A","00157","00","1609","","A","00"
"100132608816W600","7620","4800","A","00160","00","557","","A","00"
"100132608816W602","7620","2700","F","00160","02","358.8","","A","00"
"200A020H094B0900","5200","7400","A","00164","00","1403","","A","00"
"200D082I094B0900","1800","2900","A","00165","00","330","Tubing 8421, Casing 6141, Packer @ 4040 kb, 1 1/4  @ 3815 KB","A","00"
"100040908317W600","4000","6200","A","00166","00","1297","","A","00"
"100040908317W602","4000","4100","A","00166","02","548","","A","00"
"100143108513W600","2000","4535","A","00167","00","533","","A","03"
"200B003I094B1600","0800","2900","A","00168","00","344","","A","00"
"100082008318W600","3600","4100","A","00170","00","503","","A","00"
"100082008318W603","3600","4800","A","00170","03","811","","A","00"
"100091908318W600","3600","6200","B","00171","00","1272","","A","00"
"100022108318W600","3600","4800","A","00172","00","811","","A","00"
"100022108318W602","3600","4100","A","00172","02","503","","A","00"
"100100408317W600","4000","6200","A","00173","00","1297","","A","00"
"100070308317W600","4000","4800","A","00174","00","864","","A","00"
"200A034D094A1300","1400","7400","B","00175","00","1241","Gas injector 64/02 to 68/02.","A","02"
"200A009L094A0502","5200","4800","A","00176","02","956","","A","00"
"200B035A094B0900","5200","4500","B","00177","00","739","Commingled production with Halfway (2005-04-21).","A","00"
"200B035A094B0902","5200","4800","A","00177","02","956","Commingled production with Charlie Lake (2005-04-21).","A","00"
"102142108318W600","3600","4800","A","00178","00","811","","A","00"
"102142108318W602","3600","6222","B","00178","02","1307","Directional Well! MPP= 1958.9 mCF (MD), Datum= 2000.6 mCF (TVD).","A","00"
"103032908318W600","3600","4800","A","00179","00","811","","A","00"
"103032908318W602","3600","4590","B","00179","02","642","","A","00"
"200A047I094B1600","0800","4100","A","00180","00","449","","A","00"
"200A047I094B1602","0800","4800","A","00180","02","723.6","Assumed datum depth. Re-entry and re-perf 94/06.","A","00"
"100103008318W600","3600","4800","A","00181","00","811","Converted to Water Disposal.","A","00"
"100081108725W600","4600","4800","A","00182","00","797","","A","02"
"100081108725W602","4600","4100","A","00182","02","412","","A","02"
"100081108725W603","4600","4540","A","00182","03","573","","A","02"
"100081108725W605","4600","2800","","00182","05","153","","A","00"
"100081108725W608","4600","4800","","00182","08","796.2","Datum depth assumed.","A","00"
"100063108513W600","2000","4535","A","00183","00","533","","A","03"
"102041008317W600","4000","4100","A","00184","00","549","","A","00"
"200A028K094A1400","2700","2900","D","00185","00","360","","A","00"
"104032908318W600","3600","4100","","00186","00","507","","A","00"
"104032908318W602","3600","4100","A","00186","02","503","","A","00"
"102091908318W600","3600","2900","A","00190","00","299","","A","00"
"102100408317W600","4000","4800","A","00191","00","864.4","","A","00"
"102142208318W600","3600","4800","A","00192","00","811","","A","00"
"103142108318W600","3600","4100","A","00193","00","503","","A","00"
"100131408318W600","3600","4100","A","00194","00","503","","A","00"
"100131408318W603","3600","6200","H","00194","03","1179","Commingled with North Pine A pool (Feb 16, 2004)","A","00"
"100131408318W604","3600","4580","A","00194","04","","Commingled with Belloy H pool (Feb 16, 2004)","A","02"
"100093108818W600","7600","2900","F","00195","00","364","","A","00"
"100160308317W600","4000","6200","A","00197","00","1297","","","00"
"100160308317W602","4000","4800","A","00197","02","864","","A","00"
"100113208217W600","4000","6200","A","00201","00","1297","","A","00"
"100113208217W602","4000","4900","","00201","02","891","","A","00"
"100113208217W603","4000","4800","A","00201","03","864","","A","02"
"100070508317W600","4000","4800","A","00202","00","864","","A","00"
"100091408318W600","3600","4100","A","00204","00","503","","A","00"
"200D082L094A1200","1400","7400","E","00205","00","1241","","A","03"
"100163608514W600","2000","4535","A","00206","00","533","Water Injection","A","03"
"100061708318W600","3600","4800","A","00210","00","503","","A","00"
"100061708318W602","3600","4100","A","00210","02","503","","A","00"
"200C047J094J1000","3200","8400","A","00211","00","1524","","A","00"
"102061608318W600","3600","4100","A","00212","00","503","","A","00"
"100130208317W600","4000","4100","A","00213","00","548.6","","A","00"
"100101408318W600","3600","4580","A","00214","00","698","","A","02"
"100101408318W602","3600","4100","","00214","02","503","","A","00"
"100092308318W600","3600","4580","A","00216","00","698","","A","02"
"100163108513W600","2000","4535","A","00218","00","533","Water Injection","A","03"
"100101008317W600","4000","6200","A","00219","00","1297","","A","00"
"100101008317W602","3600","4100","","00219","02","549","","A","00"
"100103108217W600","4000","2900","A","00220","00","336","","A","00"
"100012308318W600","3600","4580","A","00225","00","698","","A","02"
"100012308318W602","3600","2600","","00225","02","243.2","Assumed datum depth.","A","00"
"100111008514W600","2000","4535","A","00227","00","533","WATER INJECTOR.","A","02"
"200A090I094B1600","0800","7400","A","00229","00","1189","","A","00"
"200A090I094B1602","0800","4100","A","00229","02","449","","A","00"
"100061608114W600","5860","7300","A","00230","00","1798","","A","00"
"100160808318W600","3600","4100","A","00233","00","503","Zone abandoned, re-completed in 1997, see event 02 for additional PST data.","A","00"
"100160808318W602","3600","4100","A","00233","02","503","Re-completion of earlier abandoned zone.","A","00"
"100160808318W603","3600","2800","","00233","03","292","","A","00"
"200C053D094B0902","4300","7400","B","00238","02","2073","","A","00"
"200C053D094B0903","4300","4100","E","00238","03","678","","A","00"
"200D043D094B0904","4300","4100","E","00238","04","727","Horizontal Well! Avg depth of Hz section=1495mCF.","A","00"
"200C002E094A1400","2800","2900","B","00239","00","351","","A","00"
"200D059A094H0300","9000","2900","D-059-A/094-H-03","00240","00","415","","A","00"
"200D019L094A1200","1800","4100","A","00241","00","480","","A","00"
"200D050K094A1200","1400","7400","A","00242","00","1253","","A","02"
"100111808420W600","1880","4100","A","00243","00","489","","A","00"
"100111808420W602","1880","4100","A","00243","02","480","","A","00"
"100042408620W600","8000","6200","A","00244","00","1136","","A","00"
"200D073G094H0200","6000","4800","A","00248","00","357","","A","02"
"200D073G094H0202","6000","2600","","00248","02","238","","A","00"
"200D058C094A1400","2800","4100","A","00249","00","419","","A","00"
"100012308414W600","2000","4535","A","00250","00","533","","A","02"
"200D021G094B0900","5200","7400","B","00251","00","1402","Zone abandoned Oct. 1961.","A","00"
"200D021G094B0902","5200","4500","C","00251","02","716","","A","00"
"200B069A094B1600","4400","4560","A","00253","00","688","","A","00"
"200B069A094B1602","4400","4100","B","00253","02","1544","Abandoned 79/12/03","","00"
"200B091D094A1400","2800","2900","B","00255","00","351","","A","00"
"200C080C094A1400","2800","2900","B","00261","00","351","","A","00"
"100021308620W600","8000","6200","A","00262","00","1136","","A","00"
"200C005C094A1400","2800","2900","A","00264","00","351","","A","00"
"100160408514W600","2000","4535","A","00267","00","533","","A","02"
"200D089C094A1400","2800","2900","B","00268","00","351","","A","00"
"100130508418W600","3600","2700","A","00269","00","311","","","00"
"100130508418W603","3600","4530","A","00269","03","588","","A","00"
"100081508514W604","2000","2600","A","00270","04","334","","A","00"
"100081508514W605","2000","4100","B","00270","05","451","","A","00"
"100081508514W606","2000","2900","B","00270","06","409","As of 85/10/16 single zone completion only in Dunlevy","A","00"
"200C083K094A1100","2800","2900","A","00271","00","351","","A","00"
"200D046D094A1300","1400","7400","B","00272","00","1241","","A","02"
"200A069I094B1603","0800","4100","A","00274","03","449","","A","00"
"100022008825W600","1800","2900","A","00278","00","330","","A","00"
"100072008825W602","1800","2900","A","00278","02","330","Horizontal re-entry well.","A","00"
"100092408825W600","1400","2900","A","00279","00","366","","A","00"
"200B076C094A1400","2800","2900","B","00280","00","351","","A","00"
"100061108514W600","2000","4535","A","00282","00","533","","A","02"
"100093208317W600","0100","4100","A","00287","00","537","","A","00"
"100143108619W600","6200","4800","A","00289","00","732","","A","00"
"200C034E094A1400","2800","4800","A","00290","00","671","Abandoned November 26, 1962","A","00"
"100011507915W600","3400","2200","A","00293","00","110","","A","00"
"200A031F094H0400","6400","4100","A","00294","00","426","CONVERTED TO WATER DISPOSAL WELL.","A","02"
"200A031A094A1400","2400","2900","B","00295","00","373","","A","00"
"100142008413W600","2000","4535","A","00296","00","533","","A","02"
"200C073I094B0800","5200","4500","A","00299","00","786","","A","00"
"200B009F094A1500","0760","2600","A","00300","00","320","","A","00"
"100032207915W600","3400","2200","A","00302","00","110","","A","00"
"100071107915W600","3400","2200","","00303","00","110","","A","00"
"200A050D094G0100","5100","4800","A","00304","00","864","","A","02"
"200A050D094G0102","5100","4100","A","00304","02","539","","A","02"
"200A050D094G0103","5100","7400","A","00304","03","1358","","A","00"
"200B038J094H0200","0400","4800","A","00309","00","346","","A","02"
"200B038J094H0202","0400","4800","A","00309","02","346","","A","02"
"200A099A094B0900","5200","4500","C","00314","00","716","","A","00"
"200A099A094B0902","5200","7400","C","00314","02","1420","","A","00"
"200C069J094B1600","8160","6200","","00315","00","1145","Isolated below BP in 1975.","A","00"
"200C069J094B1602","8160","4800","A","00315","02","745","","A","00"
"100131407915W600","3400","2200","A","00319","00","110","","A","00"
"102101008317W600","4000","4800","A","00320","00","864","","A","00"
"200A033J094A0900","6490","6200","A","00322","00","765","","A","00"
"200A033J094A0902","6490","4580","A","00322","02","437","","A","00"
"200D064K094N1602","0740","7100","A","00325","02","1158","","A","00"
"200D064K094N1603","0740","7100","A","00325","03","219.2","Directional survey inconclusive. Estimated CF, MPP (TVD), and datum depths based on recorder run depth.","A","00"
"200A035H094G0800","5600","4150","A","00327","00","381","","A","03"
"200A029K094A1200","1400","2900","A","00330","00","366","","A","02"
"200B036C094A1300","1600","7400","A","00331","00","1227","","A","00"
"200D064G094H0200","6000","4800","A","00341","00","357","","A","02"
"202D088L094J0900","3200","8400","A","00344","00","1524","","A","00"
"200B096B094J1000","9000","7400","B-096-B/094-J-10","00348","00","215","","A","00"
"100113508625W600","4600","4100","A","00351","00","412","","A","02"
"100113508625W603","4600","2600","","00351","03","3.1","Datum depth assumed.","A","00"
"100121008514W600","2000","2700","A","00352","00","371","","A","00"
"100121008514W602","2000","4800","","00352","02","632","","A","07"
"100161108514W600","2000","4535","A","00356","00","533","Water Injection","A","02"
"202D050K094A1200","1400","2900","A","00357","00","366","","A","02"
"202D050K094A1202","1400","4100","A","00357","02","475","Suspended 66/12/15 sliding sleeve closed, Dunlevy opa to annulus only.","A","00"
"100160308514W600","2000","4535","A","00359","00","533","","A","02"
"100081008514W600","2000","4535","A","00360","00","533","","A","02"
"100143208513W600","2000","4535","A","00361","00","533","","A","00"
"100060308514W600","2000","4535","A","00362","00","533","","A","02"
"100140308514W600","2000","4535","A","00363","00","533","","A","02"
"200D002G094B1600","4400","4100","B","00367","00","530","","A","00"
"100140708513W602","2000","4535","A","00368","02","533.4","","A","02"
"100163108413W600","2000","4535","A","00369","00","533","","A","02"
"200A003A094B0900","5200","2900","A","00372","00","218","","A","00"
"100080308514W600","2000","4535","A","00379","00","533","","A","02"
"200D099J094G0100","5000","4800","A","00382","00","581","Approved commingling of Baldonnel & Halfway 98/11/04.","A","00"
"200D099J094G0102","5000","4150","A","00382","02","396","Approved commingling of Baldonnel & Halfway 98/11/04.","A","00"
"200B070B094H0400","6400","4100","A","00383","00","426","BRIDGE PLUG & 5 SAXS CEMENT @ 1298.1 M KB - NO TUBING IN HOLE. WELLHEAD CHAINED AND LOCKED 1974. BRIDGE PLUG SET @ 1317 M KB 1960/12/05.","A","02"
"200D017C094A1400","2800","2900","A","00384","00","351","","A","00"
"200D012K094G0200","5810","7400","A","00385","00","1194","","A","00"
"200D012K094G0202","5810","7400","","00385","02","1273","ABANDONED 89/10/11.","A","00"
"200C076D094B1600","3390","4100","A","00386","00","473","","A","02"
"200D039J094H0200","0400","4800","A","00393","00","346","WATER INJECTION BP PROJ.","A","02"
"200D029J094H0200","0400","4800","A","00395","00","346","","A","02"
"200D028J094H0200","0400","4800","A","00396","00","346","","A","02"
"200C094L094J0900","3200","8400","A","00397","00","1524","","A","00"
"200D053G094H0200","6000","4800","A","00398","00","357","","A","02"
"200A053L094A1300","0200","2700","A","00400","00","387","","A","02"
"200D052G094H0202","6000","4800","A","00401","02","357","","A","02"
"200D054G094H0200","6000","4800","A","00402","00","357","WATER INJECTOR","A","02"
"200D024D094P1300","7200","8400","A","00403","00","1555","CF ESTIMATED","A","00"
"200C067K094I1400","5400","8400","A","00404","00","1396","","A","00"
"200D039K094H0200","0600","2600","A","00408","00","265","UNIT #1","A","02"
"200D039K094H0202","0600","2700","","00408","02","346.8","Datum depth assumed.","A","00"
"200D042G094H0200","6000","4800","A","00409","00","357","","A","02"
"200D042G094H0202","6000","2700","","00409","02","266.1","Assumed datum depth.","A","00"
"200A083A094B0800","0320","2600","A","00410","00","126","","A","00"
"200A022B094A1302","4900","4535","","00412","02","768","Gas cap.","A","00"
"200D039E094A1600","6800","4800","","00418","00","447","BRIDGE PLUG @ 1140 M KB - DUMP BAILED 5 SACKS CEMENT ON TOP - 1977/10/13.","A","02"
"200B088J094G0100","5000","4150","A","00427","00","396","","A","00"
"200C056D094B1600","3390","4100","A","00432","00","473","","A","02"
"200D043H094B1000","9000","4800","D-043-H/094-B-10","00433","00","957","","A","00"
"200D043G094H0200","6000","4800","A","00435","00","357","H2O INJECTOR","A","02"
"200D074G094H0200","6000","4800","A","00436","00","357","","A","02"
"200D063G094H0200","6000","4800","A","00440","00","357","","A","02"
"200D048K094H0200","0600","2600","A","00441","00","265","","A","02"
"100112708616W600","7840","4510","A","00444","00","492","Approved to commingle Baldonnel and Siphon zones 99/02/11. Enter records in Baldonnel screen.","A","00"
"100112708616W602","7840","4800","A","00444","02","646","","A","00"
"100112708616W603","7840","4100","A","00444","03","451","Approved to commingle Baldonnel and Siphon zones 99/02/11.","A","00"
"200B002G094H0400","6400","4100","A","00447","00","426","","A","02"
"200D020H094H0200","8600","2700","A","00449","00","249","","A","00"
"200B033I094G0100","2200","4100","A","00451","00","412","","A","02"
"200D042C094G0800","5000","4800","A","00453","00","581","","A","00"
"202C001H094A1300","3540","7400","C","00455","00","1139","","A","00"
"202C001H094A1303","3540","2900","D","00455","03","400","","A","00"
"200A001G094H0400","6400","4100","A","00456","00","426","","A","02"
"200B004B094A1400","2400","2900","C","00457","00","373","","A","00"
"200B030B094G0800","5000","4150","A","00460","00","396","","A","00"
"200A065J094G0100","5000","4800","A","00461","00","581","","A","00"
"200D088I094G0100","2200","4100","A","00462","00","412","","A","02"
"200B019A094G0800","2200","4100","A","00464","00","412","","A","00"
"100162608514W600","2000","4535","A","00465","00","533","Water Injection, Proj.","A","04"
"200B044I094G0100","2200","4100","A","00466","00","412","","A","02"
"200B022I094G0100","2200","4100","A","00467","00","412","","A","02"
"200C037L094G0702","7300","7400","B","00468","02","423","DEVIATED WELL, MPP=1565.56 mCF(TVD), DATUM=1567.34 mCF(MD)","A","00"
"200C014B094A1400","2400","2900","C","00469","00","373","","A","00"
"200B010A094A1300","4900","4575","A","00470","00","768","GAS CAP. G/O CONTACT @ 1546.6 MCF.","A","05"
"200A061L094H0400","7890","4100","A","00472","00","406","","A","00"
"200B010B094G0800","5000","4150","A","00473","00","396","","A","00"
"200D013H094G0800","5600","4150","A","00474","00","381","","A","03"
"200B066J094G0100","5000","4150","A","00475","00","396","","A","00"
"200B066J094G0102","5000","4800","A","00475","02","581","","A","00"
"200D077I094G0100","2200","4100","A","00478","00","412","","A","02"
"200D055I094G0100","2200","4100","A","00479","00","412","","A","02"
"200B066I094G0100","2200","4100","A","00480","00","412","","A","02"
"200B002H094G0800","5600","4150","A","00483","00","381","","A","03"
"200D077J094G0100","5000","4150","A","00484","00","396","Approved commingling of Baldonnel & Halfway 98/11/04.","A","00"
"200D077J094G0102","5000","4800","A","00484","02","581","Approved commingling of Baldonnel & Halfway 98/11/04.","A","00"
"200B042L094A1300","0200","2700","A","00485","00","387","","A","03"
"100083508514W600","2000","4535","A","00488","00","533","","A","04"
"200B024A094B0900","5200","2900","A","00489","00","218","","A","00"
"200A081A094G0800","5600","4150","A","00490","00","381","","A","03"
"200B044J094G0100","5000","4150","B","00492","00","396","","A","00"
"200B044J094G0102","5000","2600","","00492","02","335","Assumed datum depth.","A","00"
"100140208514W600","2000","4535","A","00493","00","533","","A","02"
"200B082I094B0800","5200","2900","A","00496","00","218","Reperf in 1987/10/02.","A","00"
"200D053G094A1300","3540","2900","C","00497","00","386","","A","00"
"200B068J094G0100","5000","4150","A","00498","00","396","Water Disposal 79/12/13.","","00"
"100060208514W600","2000","4535","A","00501","00","533","","","02"
"200C008D094J1600","3200","8400","A","00503","00","1524","Directional well. MPP = 1943.3 mCF (TVD). Datum = 2005.1 mCF (MD).","A","00"
"200D099D094A1302","1400","4560","C","00504","02","669","Packed off (permanent packer @ 1524 mKB)","A","00"
"200D099D094A1303","1400","2900","B","00504","03","366","","A","00"
"200C078I094J1000","3200","8400","A","00505","00","1524","","A","00"
"200A057A094A1300","3540","7400","A","00507","00","1085","Perf interval = 1927.3 - 1928.8 mCF, lower section cemented back.","A","00"
"200A057A094A1302","3540","4800","A","00507","02","734","","A","00"
"200D059K094H0200","0600","2600","A","00512","00","265","UNIT #1","A","02"
"200D040J094H0202","0400","4800","A","00513","02","346","WATER INJECTION, BP PROJECT","A","02"
"200D057K094H0200","0600","2600","A","00515","00","265","UNIT #1","A","02"
"200D068E094H0500","5600","4150","A","00516","00","381","","A","00"
"100140108514W602","2000","4535","A","00521","02","533","","A","02"
"100081808513W600","2000","4535","A","00523","00","533","","A","02"
"100062008513W600","2000","4535","A","00524","00","533","","A","02"
"200A061L094A1200","1400","4560","A","00525","00","655","","A","00"
"200A061L094A1204","1400","2900","A","00525","04","366","","A","02"
"200C020A094G0800","2200","4100","A","00526","00","412","","A","00"
"200A051A094O0802","5300","8600","A","00527","02","1736","","A","02"
"100143508514W600","2000","4535","A","00528","00","533","","","04"
"100143508514W602","2000","4535","A","00528","02","533","OBSERVATION WELL.Deviation minimal MPP TVD = MPP MD","A","04"
"200B083C094I1302","4470","8200","A","00529","02","969","","A","00"
"200D046A094H0200","8400","4800","A","00530","00","388","UNIT #1","A","02"
"200B001D094P1300","7200","8400","A","00533","00","1555","OPEN HOLE","A","00"
"200D038K094H0200","0600","2600","A","00538","00","265","UNIT #1 WATER INJECTION","A","02"
"200B017K094G0100","0800","4100","A","00539","00","427","","A","02"
"200D010G094G0100","0800","4100","A","00541","00","427","COMMINGLED WITH HALFWAY 1989/09","A","02"
"200D010G094G0102","0800","4800","A","00541","02","671","COMMINGLED WITH BALDONNEL 1989/09. See Baldonnel formations for later tests.","A","00"
"200D029E094A1600","6800","4800","","00543","00","447","H2O INJECTION","A","02"
"202C029K094A1200","1400","7400","A","00549","00","1253","","A","02"
"202C029K094A1203","1400","7400","A","00549","03","1253","MPP TVD = 2018.1mCF, DATUM MD = 2055.1mCF, Deviation starts @ 1890 mCF.","A","02"
"100082608514W600","2000","4535","A","00550","00","533","","A","04"
"200C078E094H0500","5600","4150","A","00551","00","381","","A","00"
"200B044C094P0300","5400","8400","A","00562","00","1396","","A","00"
"200A044C094P0302","5400","8400","A","00562","02","1396","MPP TVD = 2027.7m.CF,  Datum MD = 2161.6 m.CF","A","00"
"100142008513W600","2000","4535","A","00563","00","533","","A","03"
"200A029A094G1600","8150","4800","A","00566","00","409","","A","00"
"200D080E094A1600","6800","4800","","00569","00","447","","A","02"
"200C052K094H0600","7780","2600","A","00571","00","280","","A","00"
"100142608514W600","2000","4535","A","00573","00","533","","A","04"
"100063508514W600","2000","4535","A","00574","00","533","","A","04"
"100062608514W600","2000","4535","A","00575","00","533","","A","04"
"200D048E094A1600","6800","4800","","00577","00","447","","A","02"
"200D038E094A1600","6800","4800","","00578","00","447","","A","02"
"200C093C094P0300","5400","8400","A","00579","00","1396","","A","00"
"200C093C094P0302","5400","7420","A","00579","02","-6","Approved to commingle with Upper Debolt (2006/03/15).","A","00"
"200C093C094P0303","5400","7390","A","00579","03","-35.2","Approved to commingle with Lower Debolt (2006/03/15).","A","00"
"100161308514W600","2000","4535","A","00580","00","533","Water Injection","A","03"
"200D097D094A1300","1400","2900","B","00581","00","366","","A","02"
"200D097D094A1302","1400","4100","B","00581","02","475","","A","00"
"200D056A094H0200","8400","4800","A","00584","00","388","UNIT #1. RE PERF @ 1122.6-1125.7 M KB (83/03/03). PREVIOUS MPP = 1128.8 M CF.","A","02"
"200D091L094J0900","3200","8400","A","00585","00","1524","","A","00"
"200D049E094A1600","6800","4800","","00588","00","447","H2O INJECTION","A","02"
"200D028E094A1600","6800","4800","","00589","00","447","JUNE'83 - BRIDGE PLUG @ 1166 M KB W/ 2 SACKS OF CEMENT. CO SAYS WELL IS SUSPENDED.","A","02"
"100141808513W600","2000","4535","A","00590","00","533","","A","03"
"100062908513W600","2000","4535","A","00591","00","533","","A","03"
"100161208614W600","2000","4535","A","00593","00","533","Water Injection","A","03"
"100161208514W600","2000","4535","A","00602","00","533","","A","05"
"100081308514W600","2000","4535","A","00603","00","533","","A","05"
"100140808613W600","2000","4535","A","00604","00","533","","A","03"
"100160208614W600","2000","4535","A","00605","00","533","Water Injection","A","04"
"100163508514W600","2000","4535","A","00606","00","533","","A","04"
"100082408514W600","2000","4535","A","00608","00","533","","A","03"
"200D018E094A1600","6800","4800","","00612","00","447","","A","02"
"200D099I094G0100","2200","4100","A","00615","00","412","","A","02"
"100061908513W600","2000","4535","A","00618","00","533","","A","03"
"200A079F094G0100","1000","4100","B","00620","00","427","","A","00"
"200C084C094G0100","1000","4100","A","00622","00","427","","A","02"
"100061208514W600","2000","4535","A","00624","00","533","Water Injection","A","05"
"100081208514W600","2000","4535","A","00625","00","533","","A","05"
"100161808513W600","2000","4535","A","00628","00","533","","A","03"
"100141308514W600","2000","4535","A","00629","00","533","","","03"
"100081908513W600","2000","4535","A","00632","00","533","","A","03"
"100142408614W600","2000","4535","A","00633","00","533","","A","03"
"100141908513W600","2000","4535","A","00635","00","533","","A","03"
"100161908513W600","2000","4535","A","00636","00","533","Water Injection","A","03"
"100062408514W600","2000","4535","A","00639","00","533","","A","03"
"200C058C094H0600","8260","2700","A","00641","00","334","GAS CAP.","A","02"
"100080208614W600","2000","4535","A","00642","00","533","","A","04"
"100142308514W600","2000","4535","A","00643","00","533","","A","03"
"200A078C094A1400","2800","4100","A","00644","00","419","","A","00"
"100062308514W600","2000","4800","","00646","00","632","","","00"
"100062308514W602","2000","4535","A","00646","02","533","","A","03"
"100062308514W603","2000","4100","B","00646","03","451","","A","00"
"200C056E094H0500","5600","4150","A","00650","00","381","","A","00"
"200D097C094G0800","5000","4150","A","00651","00","396","Approved commingling of Baldonnel & Halfway 98/11/04.","A","00"
